x,y
476.93,1284.79
479.09,1303.11
479.79,1309
485.78,1357.91
486.23,1363.7
484.65,1374.63
490.07,1408.62
490.83,1410.42
492.23,1414.78
493.5,1419.75
485.66,1429.46
477.83,1430.37
456.09,1432.83
372.41,1443.13
358.11,1444.85
348.11,1446.02
332.18,1445.21
330.5,1444.86
328.38,1444.4
325.1,1443.54
322.18,1442.59
320.1,1441.78
317.96,1440.79
313.9,1438.6
310.8,1436.62
310.79,1436.42
307.55,1430.95
307.32,1430.51
306.33,1428.91
305.24,1427.5
304.03,1426.29
303.28,1425.66
296.45,1421.4
295.49,1420.93
293.19,1420.01
291.16,1419.37
288.66,1418.68
285.33,1418.2
282.37,1418.18
279.54,1418.45
276.04,1419.27
272.8,1420.62
269.55,1422.43
265.1,1425.25
259.2,1426.57
258.1,1426.51
256.97,1426.3
255.87,1425.86
254.57,1425.11
253.52,1424.19
252.3,1422.87
249.97,1418.24
248.74,1409.59
248.01,1404.52
234.91,1313.87
239.71,1307.62
260.17,1305.15
269.48,1303.97
290.92,1301.11
330.91,1295.67
374.11,1289.17
388.4,1287.18
428.65,1281.44
455.44,1280.81
330.91,1295.67
374.11,1289.17
388.4,1287.18
428.65,1281.44
455.44,1280.81
