gps_x,gps_y,gt_x,gt_y,lon,lat,method,kalman,matched,edge_id,lane_index,lane_pos,is_internal_edge,raw_x,raw_y,filt_x,filt_y,matched_x,matched_y,matched_lat,matched_lon,match_error_raw_m,match_error_filt_m,raw_dist,score,components,window_len,match_ms,phone_speed_mps,phone_course_deg,accuracy_m,unmatched_reason
473.7291117,1267.162459,476.93,1284.79,145.1319873,-37.90901455,hmm,TRUE,TRUE,28533357#0,0,,FALSE,473.7291117,1267.162459,473.7291117,1267.162459,479.12,1271.94,-37.90897249,145.1320496,7.203233626,7.203233626,7.203233626,0,emission=-3.889 transition=-- sigma=4.070 num_candidates=5.000,,13.6445,0,,,
473.0268462,1272.159309,476.93,1284.79,145.1319804,-37.90896941,hmm,TRUE,TRUE,28533357#0,0,,FALSE,473.0268462,1272.159309,473.1088272,1271.575987,478.8773052,1272.955118,-37.9089633,145.1320471,5.904335861,5.93104874,5.93104874,0,emission=-3.384 transition=-15.456 sigma=4.070 num_candidates=5.000,,16.73590002,0,,,
471.7866339,1275.069598,476.93,1284.79,145.131967,-37.90894297,hmm,TRUE,TRUE,28533357#0,0,,FALSE,471.7866339,1275.069598,472.122989,1274.339611,478.1989985,1275.792266,-37.90893762,145.13204,6.452958112,6.247247242,6.247247242,0,emission=-3.501 transition=1.524 sigma=4.070 num_candidates=5.000,,6.454100017,0,,,
477.7709816,1282.304613,476.93,1284.79,145.1320367,-37.90887888,hmm,TRUE,TRUE,-1272942443#3,0,,FALSE,477.7709816,1282.304613,475.8693893,1280.496801,474.05,1280.46,-37.90889483,145.1319939,4.153107413,1.819761454,0.534504953,0,emission=-2.331 transition=-23.039 sigma=4.070 num_candidates=5.000,,6.17790001,0,,,
475.7362837,1288.214475,477.3118565,1288.028709,145.1320149,-37.90882528,hmm,TRUE,TRUE,-1272942443#2,0,,FALSE,475.7362837,1288.214475,476.3557353,1286.921986,477.1700495,1286.825975,-37.90883804,145.1320309,1.995899728,0.819954718,0.819954718,0,emission=-2.343 transition=-20.318 sigma=4.070 num_candidates=5.000,,10.36749996,0,,,
478.0171809,1294.462773,478.0697274,1294.456577,145.1320422,-37.9087694,hmm,TRUE,TRUE,-1272942443#2,0,,FALSE,478.0171809,1294.462773,477.7983448,1293.44585,477.9484718,1293.42815,-37.90877871,145.1320412,1.036902464,0.151166889,0.151166889,0,emission=-2.323 transition=1.442 sigma=4.070 num_candidates=5.000,,11.70080004,0,,,
479.4925256,1302.843308,479.064506,1302.893773,145.1320609,-37.90869417,hmm,TRUE,TRUE,-1272942443#2,0,,FALSE,479.4925256,1302.843308,479.2895135,1301.128261,478.8622843,1301.178633,-37.90870906,145.1320534,1.779984755,0.430188485,0.430188485,0,emission=-2.328 transition=1.501 sigma=4.070 num_candidates=5.000,,5.536700017,0,,,
480.8408586,1312.132408,480.1834854,1312.212917,145.1320784,-37.90861074,hmm,TRUE,TRUE,-1272942443#1,0,,FALSE,480.8408586,1312.132408,480.7354941,1309.901065,479.9126943,1310.001833,-37.90862976,145.1320673,2.323970659,0.828947385,0.828947385,0,emission=-2.343 transition=-28.111 sigma=4.070 num_candidates=5.000,,8.669300005,0,,,
482.7968747,1319.726018,481.1286354,1319.930327,145.1321023,-37.90854269,hmm,TRUE,TRUE,-1272942443#1,0,,FALSE,482.7968747,1319.726018,482.4585844,1318.419649,480.9660098,1318.602444,-37.90855248,145.1320813,2.148135191,1.503726345,1.503726345,0,emission=-2.391 transition=1.478 sigma=4.070 num_candidates=5.000,,5.426399992,0,,,
484.386391,1329.440501,482.3242743,1329.693048,145.1321226,-37.90845546,hmm,TRUE,TRUE,-1272942443#1,0,,FALSE,484.386391,1329.440501,484.1698877,1327.758873,482.1181696,1328.010146,-37.90846794,145.1320965,2.681555979,2.067047467,2.067047467,0,emission=-2.452 transition=1.526 sigma=4.070 num_candidates=5.000,,11.55190001,0,,,
