method,d0_m,d_minus_m,d_plus_m,accuracy,n_true_edges,n_matched_edges,n_missed_edges,n_extra_edges
native,3436.57,271.76,3614.6,1.130883409911627,119,103,47,38
native_kalman,3436.57,558.16,3600.0099999999998,1.2099768082710376,119,115,60,57
topo,3436.57,287.55,562.52,0.24736001303625413,119,112,21,14
topo_kalman,3436.57,606.37,1177.49,0.519081526056504,119,110,37,29
fuzzy,3436.57,3436.57,29.28,1.008520123262439,119,1,119,1
fuzzy_kalman,3436.57,3436.57,29.28,1.008520123262439,119,1,119,1
hmm,3436.57,186.97,1396.97,0.46090724181378523,119,138,33,56
hmm_kalman,3436.57,159.22,1758.66,0.5580797132024082,119,152,31,71
st,3436.57,128.0,1249.71,0.4008968244499603,119,128,18,32
st_kalman,3436.57,121.92999999999999,1532.92,0.4815411878704639,119,135,21,42
