wall_time,phone_timestamp,method,kalman,lat,lon,raw_x,raw_y,filt_x,filt_y,match_x,match_y,actual_x,actual_y,edge_id,raw_dist,score,correction_m,match_ms,phone_speed_mps,sumo_speed_mps,phone_course_deg,accuracy_m
2026-09-10T11:08:54.620,1789002535,native,False,-37.90890681,145.1320219,1726.5176,1575.5092,1726.5176,1575.5092,1726.5176,1575.5092,1722.1289,1574.7433,:3157090491_0,,,0,10.365,2.245,1.256,2.5,4.68
2026-09-10T11:09:00.734,1789002541,native,False,-37.9086944,145.1320598,1729.3731,1599.1461,1729.3731,1599.1461,1729.3731,1599.1461,1727.8004,1588.6762,-1272942443#2,,,0,9.861,4.621,4.227,5.6,4.74
2026-09-10T11:09:04.800,1789002545,native,False,-37.90850578,145.1320856,1731.2259,1620.1223,1731.2259,1620.1223,1731.2259,1620.1223,1730.3157,1609.7871,-1272942443#1,,,0,11.313,5.022,4.889,7.9,4.75
2026-09-10T11:09:08.865,1789002549,native,False,-37.90831408,145.1321039,1732.4034,1641.4255,1732.4034,1641.4255,1732.4034,1641.4255,1732.8163,1630.209,-1272942443#1,,,0,11.59,5.11,5.241,11.4,7.35
2026-09-10T11:09:12.948,1789002553,native,False,-37.90809307,145.1321135,1732.7623,1665.9673,1732.7623,1665.9673,1732.7623,1665.9673,1735.6301,1653.1892,-1272942443#1,,,0,9.934,5.402,5.362,9.3,7.71
2026-09-10T11:09:16.985,1789002557,native,False,-37.90790482,145.1321639,1736.7688,1686.9451,1736.7688,1686.9451,1736.7688,1686.9451,1735.7258,1677.8319,-1272942443#1,,,0,8.92,5.045,5.78,11.2,6.49
2026-09-10T11:09:21.077,1789002561,native,False,-37.9077477,145.1322051,1740.0436,1704.4531,1740.0436,1704.4531,1740.0436,1704.4531,1738.5441,1695.5062,-1272942443#1,,,0,10.061,4.686,4.75,7.3,5.44
2026-09-10T11:09:27.190,1789002567,native,False,-37.90757032,145.1322276,1741.6243,1724.1751,1741.6243,1724.1751,1741.6243,1724.1751,1744.0294,1718.4149,:cluster_11820724987_9351956751_1,,,0,9.103,2.786,3.22,353.7,4.48
2026-09-10T11:09:31.273,1789002571,native,False,-37.90752425,145.1319933,1720.928,1728.8746,1720.928,1728.8746,1720.928,1728.8746,1731.8829,1727.2104,:cluster_579289_605155831_9106614572_9106614573_#2more_0,,,0,11.532,5.294,4.324,279.8,4.02
2026-09-10T11:09:35.352,1789002576,native,False,-37.90749283,145.131628,1688.7382,1731.7179,1688.7382,1731.7179,1688.7382,1731.7179,1708.069,1729.9267,1209653410,,,0,8.755,6.548,6.348,278.3,4.15
2026-09-10T11:09:39.431,1789002580,native,False,-37.90744598,145.1313347,1662.848,1736.3999,1662.848,1736.3999,1662.848,1736.3999,1675.8205,1733.8758,1209653410,,,0,8.389,6.535,6.572,278.1,4.43
2026-09-10T11:09:43.522,1789002584,native,False,-37.90743482,145.1310711,1639.6456,1737.1734,1639.6456,1737.1734,1639.6456,1737.1734,1650.2339,1737.0233,1209653410,,,0,9.458,5.543,6.378,282.5,4.48
2026-09-10T11:09:47.602,1789002588,native,False,-37.90738725,145.1308054,1616.1809,1741.9838,1616.1809,1741.9838,1616.1809,1741.9838,1627.8614,1739.7754,:cluster_605155297_605155316_10,,,0,8.928,5.849,5.828,277.9,4.86
2026-09-10T11:09:51.671,1789002592,native,False,-37.90735952,145.130537,1592.5225,1744.5868,1592.5225,1744.5868,1592.5225,1744.5868,1604.1998,1742.6144,:cluster_9106614563_9109971234_1,,,0,9.226,5.765,5.867,274.2,5.0
2026-09-10T11:09:55.730,1789002596,native,False,-37.90740172,145.1302707,1569.207,1739.4356,1569.207,1739.4356,1569.207,1739.4356,1582.8443,1742.6843,1147258794#2,,,0,8.759,5.918,5.425,247.4,4.86
