gps_x,gps_y
473.7291117,1267.162459
473.0268462,1272.159309
471.7866339,1275.069598
477.7709816,1282.304613
475.7362837,1288.214475
478.0171809,1294.462773
479.4925256,1302.843308
480.8408586,1312.132408
482.7968747,1319.726018
484.386391,1329.440501
485.8438453,1338.927075
488.5022528,1349.223895
492.4236756,1357.199581
495.9601828,1366.703132
496.0361873,1377.028582
501.9220752,1387.699555
500.604022,1395.907974
504.0006814,1405.973356
503.9163697,1412.936043
497.0367919,1417.84959
495.2116133,1426.083739
489.4098469,1433.965083
481.3095856,1438.204802
466.7370764,1433.414382
454.5943196,1434.911206
442.4691842,1436.462887
430.4012506,1436.268973
415.104785,1440.120866
404.4142589,1439.37781
395.9850461,1442.126178
375.4958763,1443.386937
363.839385,1444.867675
352.7059294,1447.383398
340.6594751,1448.35672
330.0232991,1448.921344
316.5734906,1441.69195
305.4285499,1433.311363
297.0604525,1420.276327
287.927023,1419.860716
278.1815983,1420.716308
268.9183396,1424.977404
261.8516459,1430.831872
251.4426413,1421.91827
251.7787016,1410.822969
248.7183179,1400.988832
248.9675343,1387.39599
247.1318233,1375.931151
244.6890716,1363.55454
240.9224136,1348.967768
238.6681106,1332.424314
236.7243891,1322.123897
235.2652209,1309.831686
231.7416228,1293.572242
231.7991545,1282.376961
229.9978889,1269.091913
227.4317213,1257.723872
228.2622209,1244.995171
226.0159884,1232.237242
222.2310967,1219.606263
220.1764105,1201.975983
218.1049826,1188.239862
216.3818146,1175.192081
215.3275147,1162.865344
215.2371577,1149.079267
211.4575709,1135.481743
208.4431729,1122.593368
210.1700179,1109.071683
208.7476217,1093.240803
206.2121928,1081.706447
204.0740031,1068.301282
203.6367728,1054.885652
201.8868718,1040.448844
197.6288879,1027.363995
195.8074354,1015.421907
196.6879654,1001.584737
193.5816436,989.8197648
191.5594067,976.3335609
190.2846077,964.3413904
188.5870044,950.8163628
185.1537997,938.3974825
184.1232992,925.5835417
182.5205476,913.6550178
180.7248878,902.7748729
181.0314062,889.8981747
179.7614997,874.1097759
178.4770128,866.1653713
178.8677529,852.4028305
185.7690031,833.117535
200.7170259,830.5796513
213.6206251,829.0900828
226.3660422,826.9315027
239.2908637,824.8796445
250.4410127,822.5648999
261.3573332,819.603221
272.3272402,819.9039277
283.3237689,817.156136
294.5708206,815.7153717
305.2803713,815.5376825
316.4872991,814.5747151
326.9801326,812.9475787
338.3398423,811.7332669
350.5821083,810.7296699
361.9218378,808.3952312
372.7158251,806.7776112
385.3227822,804.3996266
396.6316222,803.121653
405.9829333,800.4300335
409.0103619,795.4063401
404.3935659,796.3727691
392.9754148,797.5923992
382.7327321,801.5956452
371.1628423,802.5232803
358.5470888,805.5203538
346.5860028,807.3497602
336.2649652,807.7142809
325.1356265,808.2738985
315.3874308,809.7530623
298.3471588,812.4139252
286.1174895,812.6529236
271.3041648,815.6676387
259.2989387,817.7011737
246.444607,823.6927127
233.2570808,823.6989819
221.3905087,825.2800275
210.0871015,826.4139925
202.7718656,823.0651723
199.7637971,807.6942707
197.7677255,795.4688699
197.2650441,782.3833155
196.1310093,770.720468
198.5381926,760.3973765
206.4965897,753.816161
223.113888,751.6948366
229.0058979,751.5818403
234.511181,747.1423585
249.3159205,745.262967
258.0677465,744.9883474
265.944776,742.1757009
282.0065001,740.8262855
286.83428,738.2785148
290.0587716,727.982122
287.1489565,717.8110655
288.1787959,707.9462955
287.9241018,693.0776585
286.1041282,679.3031664
284.4818691,667.3711116
284.9163935,656.2858912
283.9464184,649.0339867
283.4028585,640.9332605
280.2674891,635.713388
282.1081738,632.9473917
292.8086317,620.4655582
298.6623078,620.0498728
302.6970354,619.7120896
312.5510877,618.8871119
319.5424719,618.240974
323.5294835,617.8137988
326.9278754,617.4496895
338.6262534,616.196293
345.8802975,615.3017446
354.8797255,614.1207238
363.6137419,612.9745239
370.1722122,612.1138224
383.7027489,610.3381257
391.6091474,609.3342066
402.4882483,607.9984402
410.3984391,607.0271961
420.3874833,605.80069
432.3615568,604.3304261
445.0737543,602.6028394
459.1254683,600.6928887
472.8766868,598.7654706
484.7584873,597.0927234
499.8681458,594.8345249
513.5289575,592.779289
526.8795719,590.7495688
540.3967226,588.6807569
553.6025149,586.6595761
568.2650039,584.4355105
581.9230015,582.3854331
602.0353522,579.409638
618.082871,577.0688559
632.9228195,574.9159474
648.2830212,572.7384706
664.001647,570.5101537
679.9349614,568.2513561
695.3315718,566.1292524
712.1816256,583.009249
721.9415524,590.9549606
726.2816467,608.5926976
730.5125743,622.1027676
735.4029871,635.3939309
739.5314507,648.1933462
741.5581955,659.7459804
740.9206198,671.4137913
743.9278008,684.2524706
760.7876972,676.5072715
774.5191335,670.0097849
791.1169344,662.0290637
801.7602221,664.6676477
815.2859447,662.5860856
827.672594,659.9903737
839.3732142,658.9479749
853.6474069,657.189423
869.6045601,656.4155765
877.0090071,653.4704876
882.8800578,654.4327002
890.466649,664.6364724
890.9195791,671.180511
893.7737588,682.7329692
897.6162096,696.2133029
899.1797822,703.8550323
901.5697744,713.2001936
903.8173563,724.565789
906.4685024,734.4785329
908.7032693,747.6259153
898.480271,749.6977424
886.7105609,756.1438954
879.7532188,758.3085604
872.2421782,760.1186026
862.0762073,762.6195013
853.3216574,763.389862
845.168955,768.2360461
837.498473,769.5230725
827.8713806,773.6724414
815.9660618,775.6707325
809.8181155,777.3286818
802.8747846,779.2540613
795.1016599,781.7436347
790.3101545,784.4668214
782.776669,789.0221753
793.3967388,809.4368589
800.2845003,819.6270833
