gps_x,gps_y,gt_x,gt_y
473.7291117,1267.162459,476.93,1284.79
473.0268462,1272.159309,476.93,1284.79
471.7866339,1275.069598,476.93,1284.79
477.7709816,1282.304613,476.93,1284.79
475.7362837,1288.214475,477.3118565,1288.028709
478.0171809,1294.462773,478.0697274,1294.456577
479.4925256,1302.843308,479.064506,1302.893773
480.8408586,1312.132408,480.1834854,1312.212917
482.7968747,1319.726018,481.1286354,1319.930327
484.386391,1329.440501,482.3242743,1329.693048
485.8438453,1338.927075,483.4904622,1339.215293
488.5022528,1349.223895,484.7721613,1349.680719
492.4236756,1357.199581,485.78,1357.91
495.9601828,1366.703132,486.0039295,1365.263893
496.0361873,1377.028582,485.3053289,1378.73971
501.9220752,1387.699555,487.1106644,1390.061362
500.604022,1395.907974,488.3544285,1397.861278
504.0006814,1405.973356,491.1787143,1411.264962
503.9163697,1412.936043,492.5040034,1415.852281
497.0367919,1417.84959,493.2609351,1418.814447
495.2116133,1426.083739,493.1417578,1425.231445
489.4098469,1433.965083,488.1451384,1428.846025
481.3095856,1438.204802,480.3647901,1430.075408
466.7370764,1433.414382,466.537183,1431.647844
454.5943196,1434.911206,454.3642938,1433.042414
442.4691842,1436.462887,442.2319776,1434.535756
430.4012506,1436.268973,430.3676643,1435.99611
415.104785,1440.120866,414.8324458,1437.908308
404.4142589,1439.37781,404.3915669,1439.193454
395.9850461,1442.126178,395.754914,1440.256522
375.4958763,1443.386937,375.4186672,1442.759669
363.839385,1444.867675,363.7555832,1444.170951
352.7059294,1447.383398,352.4865019,1445.507949
340.6594751,1448.35672,340.6960473,1446.219859
330.0232991,1448.921344,330.8540458,1444.93376
316.5734906,1441.69195,317.2628533,1440.413953
305.4285499,1433.311363,307.976275,1431.575725
297.0604525,1420.276327,296.5019474,1421.425252
287.927023,1419.860716,288.1086715,1418.600529
278.1815983,1420.716308,277.7489454,1418.869619
268.9183396,1424.977404,267.9475504,1423.445485
261.8516459,1430.831872,261.5907685,1426.625224
251.4426413,1421.91827,251.4359245,1421.924408
251.7787016,1410.822969,248.9720735,1411.222061
248.7183179,1400.988832,247.5246329,1401.161334
248.9675343,1387.39599,245.6055873,1387.881831
247.1318233,1375.931151,243.9451223,1376.391667
244.6890716,1363.55454,242.143173,1363.922453
240.9224136,1348.967768,240.0012804,1349.100883
238.6681106,1332.424314,237.6133457,1332.57674
236.7243891,1322.123897,236.1155017,1322.211888
235.2652209,1309.831686,234.3699324,1309.955195
231.7416228,1293.572242,232.1363466,1293.519982
231.7991545,1282.376961,230.6806482,1282.525048
229.9978889,1269.091913,228.8316693,1269.256672
227.4317213,1257.723872,227.2068464,1257.755641
228.2622209,1244.995171,225.4600236,1245.391055
226.0159884,1232.237242,223.6489456,1232.571649
222.2310967,1219.606263,221.8253425,1219.663586
220.1764105,1201.975983,219.3431351,1202.093705
218.1049826,1188.239862,217.4082027,1188.33771
216.3818146,1175.192081,215.5780334,1175.304955
215.3275147,1162.865344,213.9109307,1163.051299
215.2371577,1149.079267,212.1303632,1149.487095
211.4575709,1135.481743,210.311623,1135.632173
208.4431729,1122.593368,208.5973505,1122.573129
210.1700179,1109.071683,206.9073084,1109.489282
208.7476217,1093.240803,204.8908256,1093.734439
206.2121928,1081.706447,203.3978563,1082.066381
204.0740031,1068.301282,201.6766121,1068.607891
203.6367728,1054.885652,199.9814254,1055.353145
201.8868718,1040.448844,198.1320436,1040.933338
197.6288879,1027.363995,196.3907349,1027.528904
195.8074354,1015.421907,194.7513822,1015.568117
196.6879654,1001.584737,192.8882225,1002.11081
193.5816436,989.8197648,191.2688934,990.1289573
191.5594067,976.3335609,189.4620673,976.6139551
190.2846077,964.3413904,187.8645964,964.6649227
188.5870044,950.8163628,186.0583714,951.1544168
185.1537997,938.3974825,184.3669551,938.502676
184.1232992,925.5835417,182.6658402,925.77839
