seq,edge_id,point_index,x,y,lon,lat
0,-1272942443#2,0,476.93,1284.79,145.13202767117173,-37.908856339259714
0,-1272942443#2,1,479.09,1303.11,145.13205640357884,-37.9086916982311
1,-1272942443#1,0,479.79,1309.0,145.13206570426024,-37.9086387660599
1,-1272942443#1,1,485.78,1357.91,145.13214495111632,-37.90819925427911
1,-1272942443#1,2,486.23,1363.7,145.13215138646837,-37.908147177793836
1,-1272942443#1,3,484.65,1374.63,145.1321359124118,-37.908048432551034
1,-1272942443#1,4,490.07,1408.62,145.13220527868222,-37.90774322072859
1,-1272942443#1,5,490.83,1410.42,145.1322143295927,-37.90772714306545
2,-1272942443#0,0,492.23,1414.78,145.13223124017796,-37.90768811981541
2,-1272942443#0,1,493.5,1419.75,145.13224681165565,-37.90764357807244
3,1209653411,0,485.66,1429.46,145.13215988629872,-37.907554693035046
3,1209653411,1,477.83,1430.37,145.13207107009063,-37.90754508225759
4,1209653410,0,456.09,1432.83,145.13182445678984,-37.90751899766845
4,1209653410,1,372.41,1443.13,145.13087540240497,-37.90741110282
5,1147258794#0,0,358.11,1444.85,145.13071321050785,-37.907393025757635
5,1147258794#0,1,348.11,1446.02,145.13059978217592,-37.90738067976846
6,1147258794#2,0,332.18,1445.21,145.1304184812662,-37.90738509868467
6,1147258794#2,1,330.5,1444.86,145.13039930069144,-37.907387948057824
6,1147258794#2,2,328.38,1444.4,145.1303750924505,-37.907391708841764
6,1147258794#2,3,325.1,1443.54,145.13033760437014,-37.90739886334093
6,1147258794#2,4,322.18,1442.59,145.1303041887834,-37.90740689360997
6,1147258794#2,5,320.1,1441.78,145.1302803555018,-37.90741381448186
6,1147258794#2,6,317.96,1440.79,145.1302557989993,-37.90742234598993
6,1147258794#2,7,313.9,1438.6,145.13020913938215,-37.90744134046812
7,5094886#0,0,310.8,1436.62,145.13017344236576,-37.907458616654445
7,5094886#0,1,310.79,1436.42,145.1301732830618,-37.90746041649375
8,5094886#1,0,307.55,1430.95,145.1301351984047,-37.907509106096704
8,5094886#1,1,307.32,1430.51,145.13013248307269,-37.90751302816015
8,5094886#1,2,306.33,1428.91,145.13012086236307,-37.90752726244816
8,5094886#1,3,305.24,1427.5,145.13010814802618,-37.907539767102236
8,5094886#1,4,304.03,1426.29,145.13009411495233,-37.907550448425916
8,5094886#1,5,303.28,1425.66,145.13008544413069,-37.90755598809257
9,5094886#2,0,296.45,1421.4,145.13000681868724,-37.90759312900237
9,5094886#2,1,295.49,1420.93,145.12999579674238,-37.907597189398494
9,5094886#2,2,293.19,1420.01,145.12996943698658,-37.90760506135594
9,5094886#2,3,291.16,1419.37,145.12994621086102,-37.90761045979356
9,5094886#2,4,288.66,1418.68,145.1299176296456,-37.90761622370537
9,5094886#2,5,285.33,1418.2,145.12987965960608,-37.907619945891746
9,5094886#2,6,282.37,1418.18,145.12984600121172,-37.90761959114516
9,5094886#2,7,279.54,1418.45,145.12981388700385,-37.90761664749601
9,5094886#2,8,276.04,1419.27,145.12977428066108,-37.90760862822925
