sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y,,distance
29,-37.90880777,145.1320707,480.6080883,1290.254903,478.7369265,1300.115413,477.3034514,1287.957421,,10.03647866
33,-37.90876513,145.1320656,480.0657914,1294.977767,478.1577027,1295.202738,478.7369265,1300.115413,,1.921305399
34,-37.90828548,145.1321934,490.2270664,1348.427577,485.8549692,1358.874603,478.1577027,1295.202738,,11.32499829
37,-37.90800271,145.1321472,485.5364028,1379.723864,485.4640992,1379.735393,485.8549692,1358.874603,,0.073216995
38,-37.90790626,145.1321534,485.8748072,1390.437393,487.1384939,1390.235887,485.4640992,1379.735393,,1.279651806
39,-37.90777503,145.1321802,487.9379706,1405.046118,489.4613778,1404.803198,487.1384939,1390.235887,,1.542653436
40,-37.90770774,145.1322097,490.3819684,1412.564886,491.5194667,1412.177102,489.4613778,1404.803198,,1.201781516
41,-37.90762615,145.1322603,494.6434003,1421.70745,493.6767944,1421.791172,491.5194667,1412.177102,,0.970224891
42,-37.90760776,145.1322836,496.6570853,1423.789696,496.7599017,1423.751673,493.6767944,1421.791172,,0.109621899
43,-37.90760551,145.1322686,495.3302886,1424.012393,495.1665324,1424.060639,493.83,1423.56,,0.170715464
44,-37.9075813,145.1322692,495.332508,1426.700395,495.2249295,1426.65596,493.83,1423.56,,0.11639417
45,-37.90756059,145.1322532,493.8811123,1428.969836,493.6353586,1428.630865,492.9421773,1425.716141,,0.418683914
46,-37.90753037,145.1321745,486.8875296,1432.185047,486.8097856,1431.555229,492.2651936,1426.719092,,0.634598174
47,-37.90751356,145.132081,478.6324182,1433.884987,478.2003316,1433.930055,486.1823965,1429.330937,,0.43443061
48,-37.90749706,145.1319715,468.9683512,1435.523292,469.1375212,1434.96582,478.218658,1430.32483,,0.582574905
49,-37.90750617,145.13182,455.6673268,1434.245249,455.5020347,1432.902371,468.5046315,1431.425216,,1.353012491
50,-37.90749744,145.1316865,443.9104014,1434.978752,443.831638,1434.338857,455.5020347,1432.902371,,0.644724192
51,-37.90747695,145.1314703,424.855124,1436.872185,424.8311711,1436.677585,443.831638,1434.338857,,0.196068614
52,-37.90744429,145.1313198,411.5592288,1440.230367,411.3265282,1438.339844,424.8311711,1436.677585,,1.904790483
53,-37.90744476,145.1311758,398.8922378,1439.924578,398.8856632,1439.871165,411.3265282,1438.339844,,0.053816112
54,-37.90741648,145.1310205,385.176969,1442.78886,385.0277916,1441.576902,398.8856632,1439.871165,,1.221104455
55,-37.90740157,145.130882,372.9682936,1444.199091,372.8303331,1443.078262,385.0277916,1441.576902,,1.129287717
56,-37.90738885,145.1307068,357.5409658,1445.302187,357.4964587,1444.921784,372.8303331,1443.078262,,0.382997812
57,-37.90737025,145.1305511,343.8107867,1447.091571,343.9991671,1446.094724,357.4964587,1444.921784,,1.01449057
58,-37.90739404,145.1304108,331.5236152,1444.204381,331.3501299,1445.03711,343.8247895,1446.273407,,0.850608451
59,-37.90744295,145.1302721,319.4398569,1438.532237,318.3186263,1440.955907,331.3501299,1445.03711,,2.670455828
60,-37.90752057,145.1301478,308.6792762,1429.70059,307.32,1430.51,318.3186263,1440.955907,,1.582016541
61,-37.9076206,145.130074,302.4208413,1418.470513,303.5237154,1421.157001,307.32,1430.51,,2.904057344
62,-37.90764824,145.1298976,286.9661886,1415.091477,286.4939296,1418.367774,299.9207114,1423.150243,,3.310158696
63,-37.90762668,145.129744,273.4136984,1417.213918,274.5321746,1419.898261,286.4939296,1418.367774,,2.908038231
64,-37.90755289,145.1296367,263.81965,1425.211778,264.1551029,1425.794213,274.5321746,1419.898261,,0.672130328
65,-37.90757148,145.1295048,252.2655062,1422.916394,252.3072342,1422.877827,264.1551029,1425.794213,,0.056821118
66,-37.90768737,145.1294626,248.8083683,1409.982236,248.7960241,1409.983991,252.3072342,1422.877827,,0.012468332
67,-37.90780165,145.1294565,248.5342742,1397.290406,246.9973349,1397.512512,248.7960241,1409.983991,,1.552904854
68,-37.90792617,145.1294344,246.8619664,1383.43434,245.0017208,1383.703167,246.9973349,1397.512512,,1.879569538
69,-37.90802655,145.1293821,242.4915427,1372.203041,243.3224635,1372.082963,245.0017208,1383.703167,,0.839552322
70,-37.90815554,145.1293593,240.7725169,1357.849861,241.2555245,1357.780061,243.3224635,1372.082963,,0.488024981
71,-37.90828338,145.1292922,235.1596353,1343.546197,239.1159402,1342.974464,241.2555245,1357.780061,,3.997402542
72,-37.9083813,145.1293148,237.3646758,1332.720175,237.6285629,1332.68204,239.1159402,1342.974464,,0.266628355
73,-37.90848561,145.1292953,235.8785823,1321.110581,235.954759,1321.099573,237.6285629,1332.68204,,0.076967952
74,-37.90854745,145.1292828,234.9220142,1314.226442,234.9607021,1314.220851,235.954759,1321.099573,,0.039089805
75,-37.90858381,145.1294009,245.3844841,1310.400681,245.4163633,1310.447863,234.9607021,1314.220851,,0.056942291
76,-37.90859517,145.1295252,256.3335958,1309.358462,255.8879433,1305.666944,244.9721003,1306.984742,,3.718321032
77,-37.90862886,145.1296597,268.2378266,1305.857744,267.1330145,1305.3797,255.8879433,1305.666944,,1.203800582
78,-37.90865558,145.1298265,282.9656869,1303.187401,282.8324832,1302.188839,268.0219859,1304.154797,,1.007407213
79,-37.9086857,145.1299527,294.1266084,1300.06759,294.1622091,1300.193536,282.8324832,1302.188839,,0.13088088
80,-37.90869874,145.1300885,306.0941172,1298.860439,306.1261318,1297.370308,290.9190088,1301.110132,,1.490474868
81,-37.90872848,145.1302301,318.6082387,1295.80949,318.7471028,1297.087403,290.9190088,1301.110132,,1.285435675
82,-37.9087439,145.1303568,329.7837701,1294.321924,330.0056378,1295.805268,330.91,1295.67,,1.499844892
83,-37.90876323,145.1304739,340.1192197,1292.38395,340.39883,1294.242283,330.91,1295.67,,1.879250771
84,-37.90877687,145.1305833,349.7641272,1291.062633,350.0246273,1292.793957,340.39883,1294.242283,,1.750812124
85,-37.90878203,145.1306858,358.791849,1290.670501,358.9101892,1291.457009,350.0246273,1292.793957,,0.795361073
86,-37.90879458,145.130774,366.5710987,1289.433796,366.6991815,1290.285054,358.9101892,1291.457009,,0.860839931
87,-37.908794,145.1308948,377.1903807,1289.710833,377.0578972,1288.759481,366.6991815,1290.285054,,0.960532407
