sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y
1,-37.90898404,145.132048,479.0024123,1270.655927,475.94,1278.87,-1073741824,-1073741824
7,-37.90898407,145.1320481,479.0121247,1270.652813,475.94,1278.87,476.93,1284.79
10,-37.90898405,145.1320481,479.0069908,1270.654673,475.94,1278.87,476.93,1284.79
13,-37.90900384,145.1320228,476.831479,1268.413841,474.5696155,1278.564643,476.93,1284.79
18,-37.9089991,145.1320276,477.2403445,1268.948782,475.072701,1278.676743,476.93,1284.79
19,-37.9090027,145.1320234,476.8807183,1268.541803,474.6436902,1278.581148,476.93,1284.79
21,-37.90900966,145.1320153,476.1851061,1267.754597,474.1,1278.46,476.93,1284.79
27,-37.90900977,145.1320152,476.1747362,1267.742862,474.1,1278.46,476.93,1284.79
30,-37.90900983,145.1320151,476.1684766,1267.735778,474.1,1278.46,476.93,1284.79
33,-37.90900987,145.1320151,476.1649912,1267.731834,474.1,1278.46,476.93,1284.79
35,-37.90871151,145.1320978,482.775978,1300.984984,478.8934249,1301.442752,476.93,1284.79
36,-37.90855822,145.1320988,482.5246178,1317.996372,480.915913,1318.19339,478.8934249,1301.442752
37,-37.90851334,145.1321045,482.9237088,1322.986757,481.5239507,1323.158185,480.915913,1318.19339
38,-37.90842065,145.1321019,482.4888628,1333.267368,482.7579842,1333.234408,481.5239507,1323.158185
39,-37.90831303,145.1321421,485.7837168,1345.280307,484.2561552,1345.467387,482.7579842,1333.234408
40,-37.90823301,145.1321415,485.5501395,1354.157716,485.3238524,1354.185429,484.2561552,1345.467387
41,-37.90815513,145.1321508,486.2004615,1362.816424,486.1615633,1362.819447,485.3238524,1354.185429
42,-37.9080753,145.1321611,486.9209141,1371.692925,485.1123649,1371.431488,486.1615633,1362.819447
43,-37.90795333,145.132193,489.4558105,1385.283328,486.4258094,1385.766488,485.1123649,1371.431488
44,-37.90786242,145.1322304,492.5419479,1395.437487,488.0813539,1396.148767,486.4258094,1385.766488
45,-37.90778758,145.1322735,496.1703606,1403.817694,489.4744871,1404.885409,488.0813539,1396.148767
46,-37.90774898,145.1323042,498.7759233,1408.155256,491.1877596,1411.286879,489.4744871,1404.885409
47,-37.90772618,145.1323249,500.5510849,1410.721616,491.8135318,1413.148714,491.1877596,1411.286879
48,-37.90768462,145.1323096,499.1117165,1415.30619,492.778031,1416.924657,491.8135318,1413.148714
49,-37.90762709,145.1322577,494.4202036,1421.598231,493.665743,1421.663578,492.778031,1416.924657
50,-37.90756299,145.1321841,487.8080758,1428.581649,487.8890247,1428.9093,493.665743,1421.663578
51,-37.90752603,145.1321085,481.0792451,1432.550402,480.7859139,1430.026465,487.8890247,1428.9093
52,-37.907533,145.1320043,471.9323762,1431.592698,471.8703298,1431.044369,480.7859139,1430.026465
53,-37.90752205,145.1318778,460.7835767,1432.585625,460.7515419,1432.302521,471.8703298,1431.044369
54,-37.90751562,145.1317421,448.8433536,1433.059332,448.9236997,1433.712085,460.7515419,1432.302521
55,-37.9074763,145.1316023,436.4664978,1437.176172,436.2323919,1435.274232,448.9236997,1433.712085
56,-37.90746127,145.1314697,424.7691426,1438.610543,424.5356955,1436.713955,436.2323919,1435.274232
57,-37.90746335,145.1313361,413.0277663,1438.144641,413.0260446,1438.130654,424.5356955,1436.713955
58,-37.90744292,145.1312178,402.5831754,1440.203356,402.4877133,1439.427796,413.0260446,1438.130654
59,-37.90744189,145.1310977,392.0232857,1440.105184,392.0973284,1440.706727,402.4877133,1439.427796
60,-37.90743122,145.13098,381.6495248,1441.081994,381.7599519,1441.979134,392.0973284,1440.706727
61,-37.90741544,145.1308554,370.6627132,1442.613237,370.6529358,1443.094287,381.7599519,1441.979134
62,-37.90740541,145.1307291,359.5363422,1443.503511,359.7763979,1444.407471,370.7489008,1443.329797
63,-37.90739309,145.1306084,348.898185,1444.658405,349.0446965,1445.910641,359.6756469,1444.661684
64,-37.90739545,145.1305016,339.5083292,1444.208065,339.1998585,1444.937363,349.0446965,1445.910641
65,-37.90741357,145.1303938,330.0703071,1442.006651,331.7424078,1440.17349,339.3381769,1446.141184
66,-37.90745292,145.130279,320.0681756,1437.437812,318.4191355,1441.002404,329.4983431,1444.642659
67,-37.90750896,145.1301793,311.4295347,1431.043583,311.5022074,1431.0681,318.4191355,1441.002404
68,-37.90759029,145.1301019,304.8030239,1421.882524,304.2369237,1420.808598,309.2677185,1433.183996
69,-37.90765726,145.1299369,290.4461424,1414.160611,289.1606532,1418.81818,302.3569747,1424.915625
70,-37.9076573,145.1298184,280.0291035,1413.94689,280.4504417,1418.363138,289.1606532,1418.81818
71,-37.90761737,145.1297082,270.2516935,1418.183944,271.8904871,1421.126529,280.4504417,1418.363138
72,-37.90756689,145.1296264,262.9488952,1423.640289,264.1808916,1425.77936,271.8904871,1421.126529
73,-37.90756624,145.129531,254.5537234,1423.544286,253.7847239,1424.421949,264.1808916,1425.77936
74,-37.90764094,145.1294802,250.2591157,1415.165402,249.5471978,1415.266635,253.7847239,1424.421949
75,-37.90773282,145.1294698,249.5466976,1404.95144,248.1020697,1405.159443,249.5471978,1415.266635
76,-37.90781865,145.1294638,249.2133617,1395.416778,246.7460039,1395.77334,248.1020697,1405.159443
77,-37.90790435,145.1294459,247.8239779,1385.875838,245.367008,1386.230899,246.7460039,1395.77334
78,-37.90798167,145.1294254,246.196186,1377.260472,244.1141554,1377.56135,245.367008,1386.230899
79,-37.90805091,145.1294123,245.2041194,1369.554036,243.0029717,1369.872128,244.1141554,1377.56135
80,-37.90810844,145.1293937,243.6921351,1363.136798,242.0636454,1363.372134,243.0029717,1369.872128
81,-37.90817938,145.1293779,242.4583987,1355.237487,240.9202154,1355.459773,242.0636454,1363.372134
82,-37.90826613,145.1293595,241.0328992,1345.578108,239.5237149,1345.796203,240.9202154,1355.459773
83,-37.90836571,145.1293368,239.2664108,1334.488237,237.9177449,1334.683136,239.5237149,1345.796203
84,-37.9084563,145.1293149,237.5434145,1324.397824,236.4541433,1324.555236,237.9177449,1334.683136
85,-37.90854349,145.1293093,237.2450083,1314.712421,235.0770155,1315.025721,236.4541433,1324.555236
86,-37.908646,145.1292871,235.5206665,1303.29918,235.3246845,1303.753285,235.0770155,1315.025721
87,-37.90875877,145.129261,233.4776315,1290.739208,231.7976288,1290.961636,233.4903411,1303.579274
88,-37.90886558,145.1292373,231.6302661,1278.845683,230.2146239,1279.04568,231.7976288,1290.961636
89,-37.90898408,145.1292179,230.1893425,1265.661204,228.3602223,1265.919615,230.2146239,1279.04568
90,-37.90909476,145.1291971,228.6011164,1253.342743,226.6228919,1253.622219,228.3602223,1265.919615
91,-37.90925109,145.1291662,226.2326186,1235.941539,224.1662734,1236.233465,226.6228919,1253.622219
92,-37.90930552,145.1291531,225.2081445,1229.878995,223.3064925,1230.147653,224.1662734,1236.233465
93,-37.90946604,145.1291216,222.7925643,1212.010945,220.784289,1212.294667,223.3064925,1230.147653
94,-37.90956666,145.1291041,221.4776217,1200.81496,219.2077824,1201.135635,220.784289,1212.294667
95,-37.90966795,145.1290845,219.9776992,1189.540846,219.1955224,1190.689786,219.2077824,1201.135635
96,-37.90972068,145.1290769,219.434054,1183.676069,218.2756682,1184.415532,217.6235808,1189.871431
97,-37.90988179,145.1290447,216.9591626,1165.741968,214.309787,1166.089751,216.805413,1184.045205
98,-37.90999211,145.1290223,215.2381976,1153.460742,212.6957922,1153.794483,214.309787,1166.089751
99,-37.91010247,145.1290028,213.7690583,1141.179608,211.0860732,1141.531806,212.6957922,1153.794483
100,-37.91021209,145.1289826,212.2379221,1128.979814,209.4857868,1129.341089,211.0860732,1141.531806
101,-37.91031708,145.1289658,210.9881129,1117.300729,210.9323004,1117.044762,209.4857868,1129.341089
102,-37.91043838,145.1289408,209.066691,1103.796296,206.2252043,1104.159981,207.9605841,1117.691196
103,-37.91055479,145.1289147,207.0250815,1090.832914,204.5598406,1091.148443,206.2252043,1104.159981
104,-37.91066123,145.1289021,206.1544772,1078.999579,203.0563097,1079.395812,204.5598406,1091.148443
105,-37.91077218,145.1288772,204.2133541,1066.644319,201.4703515,1066.995129,203.0563097,1079.395812
106,-37.9108858,145.1288552,202.5368902,1053.997032,199.8519054,1054.340422,201.4703515,1066.995129
107,-37.91099495,145.1288248,200.1072282,1041.831181,198.2783441,1042.067166,199.8519054,1054.340422
108,-37.9111065,145.1288011,198.2666143,1029.411211,198.5134606,1029.261804,198.2783441,1042.067166
109,-37.91121705,145.1287823,196.8676086,1017.111342,195.0008242,1017.369797,196.669767,1029.623896
110,-37.91130965,145.1287748,196.4066533,1006.823117,193.5945432,1007.212453,195.0008242,1017.369797
111,-37.91141765,145.128759,195.2608337,994.8104638,191.9538716,995.2525729,193.5945432,1007.212453
112,-37.91153162,145.128736,193.4930849,982.123173,190.2564457,982.5558806,191.9538716,995.2525729
113,-37.91165186,145.1287135,191.7851479,968.7415173,188.4688702,969.1848718,190.2564457,982.5558806
114,-37.91177196,145.1286782,188.9511885,955.3525423,186.6605612,955.6587772,188.4688702,969.1848718
115,-37.91194336,145.1286509,186.9265911,936.284747,184.1205913,936.6598823,186.6605612,955.6587772
116,-37.91206672,145.1286229,184.7410247,922.5459492,182.2777208,922.8752692,184.1205913,936.6598823
117,-37.9121765,145.1285977,182.7728322,910.3202985,180.6374084,910.6057842,182.2777208,922.8752692
118,-37.91223384,145.1285825,181.562053,903.9300047,179.7768284,904.1686721,180.6374084,910.6057842
119,-37.91238912,145.1285786,181.5640285,886.6935139,179.8830474,886.6264238,179.7768284,904.1686721
120,-37.91248745,145.1285657,180.6477751,875.7586059,179.40229,875.8304405,179.8830474,886.6264238
121,-37.91259247,145.128558,180.2104326,864.092203,178.7301995,864.1775769,179.40229,875.8304405
122,-37.91270402,145.1285498,179.7329724,851.6995163,178.3529644,851.730491,178.7301995,864.1775769
123,-37.91281092,145.1285745,182.1449864,839.8810375,179.1719533,839.3147454,178.3529644,851.730491
124,-37.91287695,145.1286653,190.2792338,832.7136027,189.1203758,829.9323434,179.1719533,839.3147454
125,-37.91291194,145.1287976,201.9868812,829.0650281,202.85,829.07,189.1203758,829.9323434
126,-37.91293328,145.1289474,215.2007959,826.9612426,215.2312391,826.6271288,202.0334729,829.2625771
127,-37.9129542,145.1290927,228.019325,824.896299,227.9643894,825.3441072,215.2312391,826.6271288
128,-37.91297261,145.1292389,240.9169798,823.1114634,241.1171072,823.578813,227.9952796,824.7341266
129,-37.91298542,145.1293807,253.407777,821.9397975,253.3137188,821.1900917,240.8744363,822.8245317
130,-37.91299897,145.1295139,265.1469456,820.67129,265.0276543,819.7204599,253.3137188,821.1900917
131,-37.91301496,145.1296511,277.2492461,819.1386319,277.1317214,818.2018822,265.0276543,819.7204599
132,-37.91303106,145.1297898,289.4747705,817.5969478,289.3582176,816.6679445,277.1317214,818.2018822
133,-37.91304567,145.1299259,301.4716477,816.2164614,301.3396993,815.1647463,289.3582176,816.6679445
134,-37.91306317,145.1300624,313.510752,814.5147088,313.4024354,813.651354,301.3396993,815.1647463
135,-37.91307799,145.1301802,323.9012527,813.0781972,323.7804355,812.2500261,313.4024354,813.651354
136,-37.91309395,145.130316,335.8715683,811.5463022,335.7244474,810.5142596,323.7804355,812.2500261
137,-37.913105,145.1304444,347.1848142,810.5468312,346.9549103,808.9185372,335.7244474,810.5142596
138,-37.91313178,145.1306502,365.3423496,807.9376948,365.1187332,806.3539311,346.9549103,808.9185372
139,-37.91314971,145.1307721,376.0960398,806.1629608,375.888136,804.6713017,365.1187332,806.3539311
140,-37.91316089,145.1308634,384.1491716,805.0836798,383.8624997,803.5052572,375.888136,804.6713017
141,-37.91317439,145.1309392,390.8380825,803.7193239,390.5776992,802.2856476,383.8624997,803.5052572
142,-37.9131886,145.131013,397.358907,802.2731521,397.1445648,801.0929784,390.5776992,802.2856476
143,-37.91319889,145.1310854,403.7484415,801.2579012,403.5085681,799.9371528,397.1445648,801.0929784
144,-37.91323073,145.1311359,408.2590386,797.8138353,407.4606126,797.3235737,403.5085681,799.9371528
145,-37.91327474,145.1311433,409.0053401,792.9438908,408.867897,792.9464361,407.4606126,797.3235737
146,-37.9133039,145.1310737,402.9539014,789.5850966,402.6715353,788.7659554,408.867897,792.9464361
147,-37.91325577,145.1309731,394.0059134,794.7489708,393.8495543,794.5455388,402.6715353,788.7659554
148,-37.91319978,145.1308692,384.7450837,800.7780377,384.1039944,798.6908015,393.8495543,794.5455388
149,-37.9131765,145.1307301,372.4681056,803.116655,372.2761351,802.0592433,384.1039944,798.6908015
150,-37.91315788,145.1305923,360.308216,804.9396357,360.1507633,803.8236547,372.2761351,802.0592433
151,-37.91313378,145.1304575,348.4018063,807.3761106,348.1396875,805.5182867,360.1507633,803.8236547
152,-37.91311916,145.1303233,336.5719966,808.7617004,336.3477202,807.1951127,348.5870487,808.6880905
153,-37.91311019,145.1302158,327.103338,809.5683343,326.9557888,808.5576221,336.3477202,807.1951127
154,-37.91310355,145.1301896,324.7839194,810.2583878,324.5861339,808.9035571,326.9557888,808.5576221
155,-37.91310098,145.1301757,323.5530966,810.5190774,323.343732,809.0849296,324.5861339,808.9035571
156,-37.91310119,145.1301646,322.5801691,810.4765844,322.3971805,809.2231123,323.343732,809.0849296
157,-37.91309783,145.1301486,321.16866,810.8210757,321.4041705,812.5960807,322.3971805,809.2231123
158,-37.91308503,145.1300962,316.5319333,812.1491737,316.6744928,813.2236218,321.4041705,812.5960807
159,-37.91307016,145.1299201,301.0182773,813.488474,300.8326885,812.0071712,316.6744928,813.2236218
160,-37.91306854,145.129858,295.5596971,813.558585,295.449819,812.6815777,300.8326885,812.0071712
161,-37.91303782,145.1296573,277.8417775,816.6130685,277.6289444,814.9143111,295.449819,812.6815777
162,-37.91302061,145.1295157,265.3566469,818.2727704,265.1320374,816.4800177,278.0270181,818.0895582
163,-37.91301174,145.1293916,254.4223749,819.0390417,254.2722271,817.8406165,265.5303615,819.6573902
164,-37.91299969,145.1292826,244.8142537,820.1834295,244.6708432,819.0473492,254.2722271,817.8406165
165,-37.91298931,145.1291871,236.3968032,821.1662246,236.2645476,820.2739853,244.6708432,819.0473492
166,-37.91297801,145.1290913,227.9545838,822.2513888,227.9399507,822.3467193,236.2645476,820.2739853
167,-37.91296254,145.1289902,219.0294818,823.7899236,218.8963103,823.0549834,227.8464366,821.5217925
168,-37.91295628,145.1288947,210.6189134,824.3162302,210.9829091,822.8139207,218.8963103,823.0549834
169,-37.913007,145.1288113,203.3977101,818.5400637,203.93,817.88,210.9829091,822.8139207
170,-37.91310902,145.1287764,200.5574334,807.1579542,200.2801348,807.214262,203.93,817.88
171,-37.91322075,145.1287515,198.620342,794.7162821,198.1400741,794.7836954,200.2801348,807.214262
172,-37.91332832,145.1287258,196.6022732,782.7350063,196.5621224,782.7399674,198.1400741,794.7836954
173,-37.91342835,145.1287127,195.6717547,771.6116028,195.2322249,771.6614703,196.5621224,782.7399674
174,-37.91352688,145.1287214,196.6534816,760.6931242,193.969916,761.0188536,195.2322249,771.6614703
175,-37.91359235,145.1287935,203.1378195,753.555736,202.8926816,751.9434667,193.969916,761.0188536
176,-37.91361303,145.1289006,212.5968887,751.4501977,212.4509228,750.4901813,202.8926816,751.9434667
177,-37.91362117,145.1290116,222.3813569,750.7423086,222.1195061,749.0201188,212.4509228,750.4901813
178,-37.91363504,145.1291308,232.8847736,749.4133573,232.5989722,747.4320586,222.1195061,749.0201188
179,-37.91365299,145.1292402,242.5449705,747.6151389,242.3321105,746.0647805,232.5989722,747.4320586
180,-37.91367082,145.1293499,252.2298102,745.8305881,252.0782442,744.7266627,242.3321105,746.0647805
181,-37.91368474,145.129465,262.3751319,744.4881044,262.2195327,743.3434071,252.0782442,744.7266627
182,-37.9137009,145.1296233,276.3318067,742.974992,276.1249537,741.4532364,262.2195327,743.3434071
183,-37.91371746,145.1297052,283.5699433,741.2819632,283.457736,740.4564877,276.1249537,741.4532364
184,-37.91377409,145.1297746,289.7980873,735.1202183,288.8183141,734.9221221,283.457736,740.4564877
185,-37.9138679,145.1297909,291.4400039,724.7395979,290.6526973,723.6917855,291.9598412,735.5466193
186,-37.91396559,145.1297736,290.1318692,713.8685994,290.1233466,713.8696128,291.5958999,724.715531
187,-37.91406426,145.1297582,288.9959633,702.8922755,288.8204944,702.9131408,290.1233466,713.8696128
188,-37.91416471,145.1297386,287.4966104,691.7110836,287.4885532,691.7120417,288.8204944,702.9131408
189,-37.91426874,145.1297186,285.9717804,680.1320357,286.019275,680.1256009,287.4885532,691.7120417
190,-37.91436476,145.1297002,284.5725386,669.4448098,284.5789711,669.4439453,286.019275,680.1256009
191,-37.91443415,145.1296776,282.7391992,661.7058216,283.5320331,661.6011077,284.5789711,669.4439453
192,-37.91450562,145.1296812,283.2080779,653.7813841,282.5113923,653.8733992,283.5320331,661.6011077
193,-37.91457658,145.1296551,281.0730197,645.8607684,281.4466036,645.8114272,282.5113923,653.8733992
194,-37.91464562,145.1296441,280.260795,638.1804364,280.4356861,638.1573376,281.4466036,645.8114272
195,-37.91468288,145.1296435,280.2933373,634.0447609,280.3390409,634.0700323,280.4356861,638.1573376
196,-37.91470244,145.1296415,280.1585486,631.8709693,279.9254474,632.688799,279.8896292,634.1009734
197,-37.91474587,145.1296424,280.3348449,627.0528656,279.0068602,627.0581989,279.5901425,631.9501145
198,-37.91477948,145.1297207,287.2928414,623.4621342,287.108292,621.4073571,279.0068602,627.0581989
199,-37.91478665,145.1298348,297.337605,622.8676443,297.0813111,620.4700968,287.108292,621.4073571
200,-37.9147979,145.1299603,308.399347,621.8407751,308.1266062,619.2893728,297.0813111,620.4700968
201,-37.91480806,145.130089,319.7397049,620.9396023,319.3584848,617.97067,308.1266062,619.2893728
202,-37.91481895,145.130224,331.6299598,619.9698677,331.1783779,616.4529592,319.3584848,617.97067
203,-37.91482679,145.1303595,343.5556093,619.3390882,343.6014018,619.7115623,331.1783779,616.4529592
204,-37.9148424,145.1304992,355.8684887,617.8531759,355.9109079,618.1982113,343.6014018,619.7115623
205,-37.91486666,145.1307049,374.007504,615.5236448,374.0619727,615.9666895,355.9109079,618.1982113
206,-37.91488184,145.130851,386.8905223,614.0970712,386.9259419,614.385172,374.0619727,615.9666895
207,-37.91489739,145.1309986,399.9000114,612.6316909,399.9191988,612.7877596,386.9259419,614.385172
208,-37.91491377,145.1311442,412.73485,611.0704769,412.7518986,611.2089971,399.9191988,612.7877596
209,-37.91493052,145.1312906,425.637517,609.4701181,425.6363273,609.4615232,412.7518986,611.2089971
210,-37.91495112,145.1314426,439.0448518,607.452095,439.0725268,607.5120319,425.6363273,609.4615232
211,-37.91494907,145.1316001,452.894179,607.9566296,453.2534634,608.2541754,439.0656828,607.6025828
212,-37.91495427,145.1317562,466.6260708,607.6549837,466.9335047,609.6794587,452.5861043,605.7310368
213,-37.91498046,145.1319091,480.1214978,605.0176314,480.2154452,605.6473328,466.1126592,603.8827921
214,-37.91500605,145.1320572,493.2044311,602.4391342,492.9046147,600.2362912,479.7150651,602.0314459
215,-37.91503565,145.1322052,506.277005,599.4155281,506.1434727,598.4344255,492.9046147,600.2362912
216,-37.91506428,145.132356,519.5977596,596.5047889,517.64176,595.6287427,506.1434727,598.4344255
217,-37.91508408,145.1325077,532.9813191,594.5749343,532.2794402,589.8516572,517.64176,595.6287427
218,-37.91510452,145.1326501,545.5376534,592.5570691,544.8578727,587.9825021,532.2794402,589.8516572
219,-37.91512381,145.1327975,558.5383146,590.6756223,557.8511989,586.0516939,544.8578727,587.9825021
220,-37.91513796,145.1329487,571.8668125,589.3722361,573.8449345,585.4849963,557.8511989,586.0516939
221,-37.91515888,145.1331049,585.6436581,587.3255501,585.3284474,585.2040178,573.8449345,585.4849963
222,-37.9151787,145.1332567,599.0341948,585.3940433,598.7105502,583.2157466,585.3284474,585.2040178
223,-37.91519909,145.1334187,613.3160325,583.4159293,612.9714786,581.0969022,598.7105502,583.2157466
224,-37.91521823,145.1335809,627.62235,581.5787099,627.2358766,578.9775423,612.9714786,581.0969022
225,-37.91524016,145.1337422,641.8538981,579.4282054,641.4726616,576.8622851,627.2358766,578.9775423
226,-37.91527054,145.1339798,662.8071666,576.4757183,662.4025718,573.7525841,641.4726616,576.8622851
227,-37.91528982,145.1341261,675.7120571,574.5939343,675.6777565,572.1785064,662.4025718,573.7525841
228,-37.91530271,145.1342705,688.4341003,573.4171968,688.4139417,571.9976444,675.6777565,572.1785064
229,-37.91528756,145.1343761,697.6790814,575.2843442,698.5558609,573.589643,688.4139417,571.9976444
230,-37.91524071,145.1344922,707.7805955,580.6877604,707.3650022,579.9114635,698.5558609,573.589643
231,-37.91518396,145.1345932,716.5352371,587.1629439,717.1140752,586.3887478,708.786433,579.4964494
232,-37.91510149,145.1347037,726.0679954,596.5078464,725.6889439,596.6057912,717.1140752,586.3887478
