sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y,,
1,-37.90918003,145.1322461,473.7291117,1267.162459,473.4593539,1278.444682,476.93,1284.79,,
2,-37.90921215,145.1322668,473.0268462,1272.159309,472.876896,1278.430756,476.93,1284.79,,
3,-37.90920806,145.1322796,471.7866339,1275.069598,471.7069375,1278.402782,476.93,1284.79,,
4,-37.90923605,145.1322633,477.7709816,1282.304613,478.3939983,1282.170098,476.93,1284.79,,
5,-37.90921526,145.1322863,475.7362837,1288.214475,477.3118565,1288.028709,477.3118565,1288.028709,,
6,-37.90910912,145.1322292,478.0171809,1294.462773,478.0697274,1294.456577,478.0697274,1294.456577,,
7,-37.90907129,145.1320545,479.4925256,1302.843308,479.064506,1302.893773,479.064506,1302.893773,,
8,-37.90899823,145.131943,480.8408586,1312.132408,480.1834854,1312.212917,480.1834854,1312.212917,,
9,-37.90898791,145.1319768,482.7968747,1319.726018,481.1286354,1319.930327,481.1286354,1319.930327,,
10,-37.90899972,145.1319742,484.386391,1329.440501,482.3242743,1329.693048,482.3242743,1329.693048,,
11,-37.90901751,145.1319924,485.8438453,1338.927075,483.4904622,1339.215293,483.4904622,1339.215293,,
12,-37.90901455,145.1319873,488.5022528,1349.223895,484.7721613,1349.680719,484.7721613,1349.680719,,
13,-37.90896941,145.1319804,492.4236756,1357.199581,485.78,1357.91,485.78,1357.91,,
14,-37.90894297,145.131967,495.9601828,1366.703132,486.0039295,1365.263893,486.0039295,1365.263893,,
15,-37.90887888,145.1320367,496.0361873,1377.028582,485.3053289,1378.73971,485.3053289,1378.73971,,
16,-37.90882528,145.1320149,501.9220752,1387.699555,487.1106644,1390.061362,487.1106644,1390.061362,,
17,-37.9087694,145.1320422,500.604022,1395.907974,488.3544285,1397.861278,488.3544285,1397.861278,,
18,-37.90869417,145.1320609,504.0006814,1405.973356,492.986962,1410.411721,491.1787143,1411.264962,,
19,-37.90861074,145.1320784,503.9163697,1412.936043,492.5040034,1415.852281,492.5040034,1415.852281,,
20,-37.90854269,145.1321023,497.0367919,1417.84959,495.1990087,1418.318965,493.2609351,1418.814447,,
21,-37.90845546,145.1321226,495.2116133,1426.083739,495.4248949,1426.171833,493.1417578,1425.231445,,
22,-37.90837027,145.1321414,489.4098469,1433.965083,489.6329228,1435.629652,488.1451384,1428.846025,,
23,-37.90827799,145.1321739,481.3095856,1438.204802,481.154458,1436.715577,480.3647901,1430.075408,,
24,-37.90820685,145.1322203,466.7370764,1433.414382,466.7873568,1433.857913,466.537183,1431.647844,,
25,-37.90812188,145.1322627,454.5943196,1434.911206,454.3642938,1433.042414,454.3642938,1433.042414,,
26,-37.90802888,145.1322659,442.4691842,1436.462887,442.2319776,1434.535756,442.2319776,1434.535756,,
27,-37.90793382,145.1323353,430.4012506,1436.268973,430.3676643,1435.99611,430.3676643,1435.99611,,
28,-37.90785963,145.1323222,415.104785,1440.120866,414.8324458,1437.908308,414.8324458,1437.908308,,
29,-37.90776958,145.1323631,404.4142589,1439.37781,404.3915669,1439.193454,404.3915669,1439.193454,,
30,-37.90770684,145.1323637,395.9850461,1442.126178,395.754914,1440.256522,395.754914,1440.256522,,
31,-37.90766134,145.1322866,375.4958763,1443.386937,375.4186672,1442.759669,375.4186672,1442.759669,,
32,-37.90758683,145.1322677,363.839385,1444.867675,364.0180843,1445.144465,363.7555832,1444.170951,,
33,-37.90751479,145.1322035,352.7059294,1447.383398,352.4865019,1445.507949,352.4865019,1445.507949,,
34,-37.90747513,145.1321124,340.6594751,1448.35672,340.658304,1448.455324,340.6960473,1446.219859,,
35,-37.90751566,145.1319456,330.0232991,1448.921344,330.8540458,1444.93376,330.8540458,1444.93376,,
36,-37.90749998,145.1318079,316.5734906,1441.69195,317.2628533,1440.413953,317.2628533,1440.413953,,
37,-37.90748381,145.1316704,305.4285499,1433.311363,306.148766,1432.821469,307.976275,1431.575725,,
38,-37.90748338,145.1315332,297.0604525,1420.276327,296.6450708,1421.467996,296.5019474,1421.425252,,
39,-37.90744592,145.1313601,287.927023,1419.860716,288.1086715,1418.600529,288.1086715,1418.600529,,
40,-37.90745068,145.1312384,278.1815983,1420.716308,277.7489454,1418.869619,277.7489454,1418.869619,,
41,-37.9074244,145.1311432,268.9183396,1424.977404,267.9475504,1423.445485,267.9475504,1423.445485,,
42,-37.90740935,145.1309105,261.8516459,1430.831872,261.4424914,1430.649532,261.5907685,1426.625224,,
43,-37.9073939,145.1307784,251.4426413,1421.91827,251.4359245,1421.924408,251.4359245,1421.924408,,
44,-37.90736923,145.1306523,251.7787016,1410.822969,248.9720735,1411.222061,248.9720735,1411.222061,,
45,-37.90735828,145.1305156,248.7183179,1400.988832,247.5246329,1401.161334,247.5246329,1401.161334,,
46,-37.90735128,145.1303948,248.9675343,1387.39599,245.6055873,1387.881831,245.6055873,1387.881831,,
47,-37.90741397,145.1302402,247.1318233,1375.931151,243.9451223,1376.391667,243.9451223,1376.391667,,
48,-37.90748745,145.1301116,244.6890716,1363.55454,242.143173,1363.922453,242.143173,1363.922453,,
49,-37.90760336,145.1300135,240.9224136,1348.967768,240.0012804,1349.100883,240.0012804,1349.100883,,
50,-37.90760546,145.1299096,238.6681106,1332.424314,237.6133457,1332.57674,237.6133457,1332.57674,,
51,-37.90759599,145.129799,236.7243891,1322.123897,236.1155017,1322.211888,236.1155017,1322.211888,,
52,-37.90755593,145.1296946,235.2652209,1309.831686,235.5284775,1309.944309,234.3699324,1309.955195,,
53,-37.90750191,145.1296156,231.7416228,1293.572242,232.1363466,1293.519982,232.1363466,1293.519982,,
54,-37.90758033,145.1294952,231.7991545,1282.376961,230.6806482,1282.525048,230.6806482,1282.525048,,
55,-37.90768034,145.1294965,229.9978889,1269.091913,228.8316693,1269.256672,228.8316693,1269.256672,,
56,-37.90776837,145.1294595,227.4317213,1257.723872,227.2068464,1257.755641,227.2068464,1257.755641,,
57,-37.90789086,145.1294592,228.2622209,1244.995171,225.4600236,1245.391055,225.4600236,1245.391055,,
58,-37.90799381,145.1294357,226.0159884,1232.237242,223.6489456,1232.571649,223.6489456,1232.571649,,
59,-37.90810486,145.1294051,222.2310967,1219.606263,221.8253425,1219.663586,221.8253425,1219.663586,,
60,-37.90823558,145.129359,220.1764105,1201.975983,219.3431351,1202.093705,219.3431351,1202.093705,,
61,-37.9083842,145.1293296,218.1049826,1188.239862,217.3106771,1189.406617,217.4082027,1188.33771,,
62,-37.90847664,145.1293051,216.3818146,1175.192081,215.7785661,1175.295858,215.5780334,1175.304955,,
63,-37.9085871,145.1292857,215.3275147,1162.865344,213.9109307,1163.051299,213.9109307,1163.051299,,
64,-37.90873294,145.1292419,215.2371577,1149.079267,212.1303632,1149.487095,212.1303632,1149.487095,,
65,-37.9088338,145.12924,211.4575709,1135.481743,210.311623,1135.632173,210.311623,1135.632173,,
66,-37.90895314,145.1292165,208.4431729,1122.593368,208.5973505,1122.573129,208.5973505,1122.573129,,
67,-37.90905509,145.1291848,210.1700179,1109.071683,206.9073084,1109.489282,206.9073084,1109.489282,,
68,-37.9091699,145.1291913,208.7476217,1093.240803,204.8908256,1093.734439,204.8908256,1093.734439,,
69,-37.90928442,145.1291629,206.2121928,1081.706447,203.3978563,1082.066381,203.3978563,1082.066381,,
70,-37.90939752,145.1291169,204.0740031,1068.301282,201.6766121,1068.607891,201.6766121,1068.607891,,
71,-37.90955596,145.1290896,203.6367728,1054.885652,199.9814254,1055.353145,199.9814254,1055.353145,,
72,-37.90967933,145.1290629,201.8868718,1040.448844,198.1320436,1040.933338,198.1320436,1040.933338,,
73,-37.90979655,145.1290403,197.6288879,1027.363995,197.8473307,1026.858846,196.3907349,1027.528904,,
74,-37.9099074,145.1290255,195.8074354,1015.421907,194.7513822,1015.568117,194.7513822,1015.568117,,
75,-37.91003158,145.1290213,196.6879654,1001.584737,192.8882225,1002.11081,192.8882225,1002.11081,,
76,-37.91015338,145.1289752,193.5816436,989.8197648,191.2688934,990.1289573,191.2688934,990.1289573,,
77,-37.91026894,145.128938,191.5594067,976.3335609,189.4620673,976.6139551,189.4620673,976.6139551,,
78,-37.91039106,145.1289546,190.2846077,964.3413904,187.8645964,964.6649227,187.8645964,964.6649227,,
79,-37.91053341,145.1289348,188.5870044,950.8163628,186.0583714,951.1544168,186.0583714,951.1544168,,
80,-37.91063685,145.1289033,185.1537997,938.3974825,184.3669551,938.502676,184.3669551,938.502676,,
81,-37.91075722,145.128876,184.1232992,925.5835417,182.6658402,925.77839,182.6658402,925.77839,,
82,-37.910878,145.1288679,182.5205476,913.6550178,181.0709702,913.8488124,181.0709702,913.8488124,,
83,-37.91100773,145.1288447,180.7248878,902.7748729,179.6485474,902.7784135,179.6485474,902.7784135,,
84,-37.91112483,145.1287933,181.0314062,889.8981747,179.7545015,889.8472118,179.7545015,889.8472118,,
85,-37.91123208,145.1287699,179.7614997,874.1097759,179.304569,874.1361298,179.304569,874.1361298,,
86,-37.91135689,145.1287768,178.4770128,866.1653713,178.843628,866.1442264,178.843628,866.1442264,,
87,-37.9114623,145.1287388,178.8677529,852.4028305,178.3683069,852.4140408,178.3683069,852.4140408,,
88,-37.91158343,145.1287127,185.7690031,833.117535,185.0792351,831.827511,185.0792351,831.827511,,
89,-37.91169122,145.1286955,200.7170259,830.5796513,201.003162,829.203238,201.003162,829.203238,,
90,-37.91181275,145.1286731,213.6206251,829.0900828,213.8564537,826.5018637,213.8564537,826.5018637,,
91,-37.911924,145.1286312,226.3660422,826.9315027,226.0810511,826.9833442,226.082292,825.0177656,,
92,-37.91203925,145.1286165,239.2908637,824.8796445,239.1323968,824.6639534,239.0267709,823.0984854,,
93,-37.91214641,145.1285956,250.4410127,822.5648999,250.3157184,821.5662212,250.3157184,821.5662212,,
94,-37.9122441,145.1285727,261.3573332,819.603221,261.4286906,820.1719864,261.4286906,820.1719864,,
95,-37.91236015,145.1285732,272.3272402,819.9039277,272.1914622,818.8216877,272.1914622,818.8216877,,
96,-37.91250215,145.1285552,283.3237689,817.156136,283.3569812,817.4208603,283.3569812,817.4208603,,
97,-37.91257348,145.1285388,294.5708206,815.7153717,294.6077023,816.0093435,294.6077023,816.0093435,,
98,-37.91269753,145.1285401,305.2803713,815.5376825,305.1732418,814.6837896,305.1732418,814.6837896,,
99,-37.9128725,145.1286142,316.4872991,814.5747151,316.3143736,813.2714029,316.3143736,813.2714029,,
100,-37.91289806,145.1287835,326.9801326,812.9475787,326.8138136,811.807504,326.8138136,811.807504,,
101,-37.91291382,145.1289299,338.3398423,811.7332669,338.11744,810.1731309,338.11744,810.1731309,,
102,-37.91293557,145.1290743,350.5821083,810.7296699,350.2604905,808.4518121,350.2604905,808.4518121,,
103,-37.91295639,145.1292208,361.9218378,808.3952312,361.7017398,806.8363869,361.7017398,806.8363869,,
104,-37.91297925,145.1293471,372.7158251,806.7776112,372.4451416,805.2801202,372.4451416,805.2801202,,
105,-37.91300791,145.1294705,385.3227822,804.3996266,385.1189043,803.2770699,385.1189043,803.2770699,,
106,-37.91300718,145.1295953,396.6316222,803.121653,396.2913205,801.247944,396.2913205,801.247944,,
107,-37.91303392,145.1297197,405.9829333,800.4300335,405.42,799.59,405.42,799.59,,
108,-37.91304893,145.1298473,409.0103619,795.4063401,408.5519489,795.2690907,408.5519489,795.2690907,,
109,-37.91305247,145.129969,404.3935659,796.3727691,406.5874438,798.3535275,406.5874438,798.3535275,,
110,-37.91306317,145.1300962,392.9754148,797.5923992,391.9501521,795.8214909,391.9501521,795.8214909,,
111,-37.91307972,145.1302152,382.7327321,801.5956452,382.035644,799.32609,383.1045556,803.6429144,,
112,-37.91309271,145.1303441,371.1628423,802.5232803,371.1168083,802.2697163,371.1168083,802.2697163,,
113,-37.91310397,145.130483,358.5470888,805.5203538,358.3436752,804.0786151,358.3436752,804.0786151,,
114,-37.91312704,145.1306114,346.5860028,807.3497602,346.3629694,805.7689622,346.3629694,805.7689622,,
115,-37.91314357,145.1307338,336.2649652,807.7142809,336.1937946,807.2171491,336.1937946,807.2171491,,
116,-37.91316727,145.1308766,325.1356265,808.2738985,325.214163,808.811874,325.214163,808.811874,,
117,-37.91318082,145.1310049,315.3874308,809.7530623,315.4421564,810.1652504,315.4421564,810.1652504,,
118,-37.91320676,145.1311106,298.3471588,812.4139252,298.3353974,812.3200506,298.3353974,812.3200506,,
119,-37.91325256,145.1311439,286.1174895,812.6529236,286.2652493,813.8322897,286.2652493,813.8322897,,
120,-37.91324302,145.1310916,271.3041648,815.6676387,271.3089864,815.706123,271.3089864,815.706123,,
121,-37.91322997,145.1309621,259.2989387,817.7011737,259.2384544,817.2184102,259.2384544,817.2184102,,
122,-37.91319206,145.1308465,246.444607,823.6927127,246.2428174,822.0751931,246.2428174,822.0751931,,
123,-37.91318161,145.1307152,233.2570808,823.6989819,233.2940729,823.9484735,233.2940729,823.9484735,,
124,-37.91315233,145.1305724,221.3905087,825.2800275,220.9208565,822.6881347,221.4905183,825.8345718,,
125,-37.91313369,145.1304368,210.0871015,826.4139925,210.0866106,826.3967513,210.0866106,826.3967513,,
126,-37.91312854,145.1303196,202.7718656,823.0651723,204.5733744,818.5538307,205.5709419,819.0065116,,
127,-37.91312149,145.1301931,199.7637971,807.6942707,200.3532979,807.5745675,200.3532979,807.5745675,,
128,-37.9131064,145.1300826,197.7677255,795.4688699,198.2271966,795.4043757,198.2271966,795.4043757,,
129,-37.91307936,145.1298895,197.2650441,782.3833155,196.5292868,782.4742281,196.5292868,782.4742281,,
130,-37.91307499,145.1297505,196.1310093,770.720468,195.1382413,770.8331039,195.1382413,770.8331039,,
131,-37.91304516,145.1295827,198.5381926,760.3973765,193.9619037,760.9528433,193.9619037,760.9528433,,
132,-37.91302467,145.1294467,206.4965897,753.816161,206.1368573,751.4502051,206.1368573,751.4502051,,
133,-37.91296837,145.1293019,223.113888,751.6948366,222.6939304,748.9327803,222.6939304,748.9327803,,
134,-37.91296593,145.129152,229.0058979,751.5818403,228.4696003,748.054617,228.4696003,748.054617,,
135,-37.91294954,145.1290174,234.511181,747.1423585,234.5131402,747.1559408,234.5131402,747.1559408,,
136,-37.91293728,145.1288891,249.3159205,745.262967,249.2947576,745.1088279,249.2947576,745.1088279,,
137,-37.91296613,145.1288052,258.0677465,744.9883474,257.9235267,743.9273653,257.9235267,743.9273653,,
138,-37.91310405,145.1287675,265.944776,742.1757009,266.0330403,742.8250352,266.0330403,742.8250352,,
139,-37.91321382,145.128742,282.0065001,740.8262855,281.9834734,740.6568849,281.9834734,740.6568849,,
140,-37.9133316,145.1287333,286.83428,738.2785148,287.0637051,739.9663265,287.0637051,739.9663265,,
141,-37.91343646,145.1287177,290.0587716,727.982122,288.9669986,728.0120922,292.0526697,727.6743082,,
142,-37.91352989,145.1287427,287.1489565,717.8110655,285.1653956,718.0829009,290.5440251,717.4073523,,
143,-37.91359061,145.1288317,288.1787959,707.9462955,289.4017033,707.8008775,289.4017033,707.8008775,,
144,-37.91361273,145.1290202,287.9241018,693.0776585,287.6547496,693.1096877,287.6547496,693.1096877,,
145,-37.91361481,145.1290872,286.1041282,679.3031664,285.9113863,679.3292798,285.9113863,679.3292798,,
146,-37.9136558,145.1291487,284.4818691,667.3711116,284.3035853,667.3950745,284.3035853,667.3950745,,
147,-37.9136754,145.1293167,284.9163935,656.2858912,282.8657939,656.5567252,282.8657939,656.5567252,,
148,-37.91367946,145.1294161,283.9464184,649.0339867,281.9077864,649.30324,281.9077864,649.30324,,
149,-37.91370622,145.129505,283.4028585,640.9332605,280.8469033,641.2708395,280.8469033,641.2708395,,
150,-37.91372128,145.1296874,280.2674891,635.713388,280.1155507,635.7334553,280.1155507,635.7334553,,
151,-37.9137451,145.1297417,282.1081738,632.9473917,282.0989275,632.6638393,279.7742538,633.2723679,,
152,-37.91383844,145.129776,292.8086317,620.4655582,292.8469274,620.8919426,292.8469274,620.8919426,,
153,-37.91392953,145.1297406,298.6623078,620.0498728,298.6888592,620.2982525,298.6888592,620.2982525,,
154,-37.91401858,145.12975,302.6970354,619.7120896,302.7137023,619.8680034,302.7137023,619.8680034,,
155,-37.91415248,145.1297437,312.5510877,618.8871119,312.5436145,618.8172018,312.5436145,618.8172018,,
156,-37.91427623,145.1297199,319.5424719,618.240974,319.5053427,617.951813,319.5053427,617.951813,,
157,-37.91438343,145.1296987,323.5294835,617.8137988,323.4816462,617.4412433,323.4816462,617.4412433,,
158,-37.91448336,145.1297011,326.9278754,617.4496895,326.8709109,617.0060513,326.8709109,617.0060513,,
159,-37.91454851,145.1296885,338.6262534,616.196293,338.5378715,615.5079775,338.9508196,615.9338305,,
160,-37.91462139,145.1296804,345.8802975,615.3017446,345.9895033,616.1900179,345.9895033,616.1900179,,
161,-37.91466784,145.1296436,354.8797255,614.1207238,354.9979682,615.0825024,354.9979682,615.0825024,,
162,-37.91469309,145.1296639,363.6137419,612.9745239,363.740756,614.0076497,363.740756,614.0076497,,
163,-37.91480747,145.1297827,370.1722122,612.1138224,370.3058139,613.2005306,370.3058139,613.2005306,,
164,-37.91481227,145.1298492,383.7027489,610.3381257,383.849943,611.5353931,383.849943,611.5353931,,
165,-37.91481604,145.129895,391.6091474,609.3342066,391.7602041,610.5628926,391.7602041,610.5628926,,
166,-37.91482525,145.1300068,402.4882483,607.9984402,402.6390957,609.2254237,402.6390957,609.2254237,,
167,-37.91483234,145.1300862,410.3984391,607.0271961,410.5487578,608.2581517,410.5487578,608.2581517,,
168,-37.91483691,145.1301314,420.3874833,605.80069,420.5455439,606.9414261,420.5455439,606.9414261,,
169,-37.9148408,145.13017,432.3615568,604.3304261,432.4939411,605.2858543,432.4939411,605.2858543,,
170,-37.91485421,145.1303027,445.0737543,602.6028394,445.2015411,603.5250872,445.2015411,603.5250872,,
171,-37.91486358,145.130385,459.1254683,600.6928887,459.2473944,601.5885712,459.2473944,601.5885712,,
172,-37.91487584,145.1304871,472.8766868,598.7654706,473.0060322,599.7156559,473.0060322,599.7156559,,
173,-37.91488774,145.1305861,484.7584873,597.0927234,484.8952261,598.0972214,484.8952261,598.0972214,,
174,-37.91489668,145.1306605,499.8681458,594.8345249,500.0317981,596.0367327,500.0317981,596.0367327,,
175,-37.91491512,145.1308139,513.5289575,592.779289,513.7187568,594.1735748,513.7187568,594.1735748,,
176,-37.91492559,145.1309036,526.8795719,590.7495688,526.8656885,590.6561407,526.8656885,590.6561407,,
177,-37.91493959,145.131027,540.3967226,588.6807569,540.3915863,588.6461923,540.3915863,588.6461923,,
178,-37.91494977,145.1311167,553.6025149,586.6595761,553.6059275,586.6825412,553.6059275,586.6825412,,
179,-37.91496262,145.13123,568.2650039,584.4355105,568.274991,584.5027183,568.274991,584.5027183,,
180,-37.91497803,145.1313658,581.9230015,582.3854331,581.9353177,582.4683274,581.9353177,582.4683274,,
181,-37.91499589,145.13151,602.0353522,579.409638,602.0458607,579.4803654,602.0458607,579.4803654,,
182,-37.91501563,145.1316693,618.082871,577.0688559,618.0870548,577.0970147,618.0870548,577.0970147,,
183,-37.91503548,145.1318253,632.9228195,574.9159474,632.9194492,574.8932637,632.9194492,574.8932637,,
184,-37.91505269,145.13196,648.2830212,572.7384706,648.2644318,572.6133539,648.2644318,572.6133539,,
185,-37.91507576,145.1321313,664.001647,570.5101537,663.9674875,570.2802427,663.9674875,570.2802427,,
186,-37.91509674,145.1322861,679.9349614,568.2513561,679.954994,568.7837112,679.9898599,572.1172718,,
187,-37.91511743,145.1324375,695.3315718,566.1292524,695.289366,565.0062236,695.29,571.9,,
188,-37.91513851,145.1325907,712.1816256,583.009249,712.4920248,582.644695,712.4920248,582.644695,,
189,-37.9151591,145.1327404,721.9415524,590.9549606,720.9977609,591.3118565,720.9977609,591.3118565,,
190,-37.91518178,145.1329066,726.2816467,608.5926976,725.52978,608.7869759,725.52978,608.7869759,,
191,-37.91520271,145.1330615,730.5125743,622.1027676,729.067024,622.4762899,729.067024,622.4762899,,
192,-37.91523315,145.1332895,735.4029871,635.3939309,736.0502533,635.1871314,736.0502533,635.1871314,,
193,-37.91525713,145.1334714,739.5314507,648.1933462,739.7104541,648.1926244,739.7104541,648.1926244,,
194,-37.9152792,145.1336397,741.5581955,659.7459804,739.8113089,657.9692835,736.416157,659.6874151,,
195,-37.91530159,145.1338138,740.9206198,671.4137913,738.2192184,673.375758,738.2192184,673.375758,,
196,-37.9153245,145.1339921,743.9278008,684.2524706,744.9098299,684.6857188,746.3076762,680.7210426,,
197,-37.91534772,145.1341727,760.7876972,676.5072715,761.7453571,676.3608777,760.5121466,676.2929544,,
198,-37.91536961,145.1343473,774.5191335,670.0097849,774.343402,669.3966897,774.343402,669.3966897,,
199,-37.91522059,145.1345427,791.1169344,662.0290637,790.583805,662.1385015,791.3832449,665.2913678,,
200,-37.91515077,145.1346555,801.7602221,664.6676477,801.6942605,664.2400343,801.6942605,664.2400343,,
201,-37.91499267,145.1347089,815.2859447,662.5860856,815.223308,662.1742497,815.223308,662.1742497,,
202,-37.91487173,145.1347601,827.672594,659.9903737,827.7129742,660.2571715,827.7129742,660.2571715,,
203,-37.91475288,145.1348187,839.3732142,658.9479749,839.7349574,658.0141727,839.3032356,658.4912227,,
204,-37.91463832,145.1348686,853.6474069,657.189423,852.2095755,657.461989,853.5139988,656.3135296,,
205,-37.91453462,145.1348942,869.6045601,656.4155765,870.76,656.66,869.2419402,653.947541,,
206,-37.9144294,145.1348896,877.0090071,653.4704876,876.9153799,652.8204993,876.9153799,652.8204993,,
207,-37.91431429,145.1349268,882.8800578,654.4327002,883.6030617,652.6203704,883.6030617,652.6203704,,
208,-37.9143871,145.1351167,890.466649,664.6364724,888.4043261,665.0390306,888.4043261,665.0390306,,
209,-37.9144481,145.1352714,890.9195791,671.180511,889.6514398,671.4280473,889.6514398,671.4280473,,
210,-37.91452299,145.1354583,893.7737588,682.7329692,895.1089425,682.4538879,891.974759,683.1072709,,
211,-37.91450113,145.1355799,897.6162096,696.2133029,894.9374622,696.8085801,894.9374622,696.8085801,,
212,-37.91452232,145.1357332,899.1797822,703.8550323,896.5932676,704.4117564,896.5932676,704.4117564,,
213,-37.91454794,145.1358735,901.5697744,713.2001936,898.6214904,713.8347854,898.6214904,713.8347854,,
214,-37.91455944,145.1360063,903.8173563,724.565789,901.0590325,725.1594936,901.0590325,725.1594936,,
215,-37.91457785,145.1361682,906.4685024,734.4785329,907.1,733.71,903.19,735.03,,
216,-37.91458769,145.1363494,908.7032693,747.6259153,909.2636544,747.3073207,902.58,744.72,,
