gt_x,gt_y
476.93,1284.79
476.93,1284.79
476.93,1284.79
476.93,1284.79
477.3118565,1288.028709
478.0697274,1294.456577
479.064506,1302.893773
480.1834854,1312.212917
481.1286354,1319.930327
482.3242743,1329.693048
483.4904622,1339.215293
484.7721613,1349.680719
485.78,1357.91
486.0039295,1365.263893
485.3053289,1378.73971
487.1106644,1390.061362
488.3544285,1397.861278
491.1787143,1411.264962
492.5040034,1415.852281
493.2609351,1418.814447
493.1417578,1425.231445
488.1451384,1428.846025
480.3647901,1430.075408
466.537183,1431.647844
454.3642938,1433.042414
442.2319776,1434.535756
430.3676643,1435.99611
414.8324458,1437.908308
404.3915669,1439.193454
395.754914,1440.256522
375.4186672,1442.759669
363.7555832,1444.170951
352.4865019,1445.507949
340.6960473,1446.219859
330.8540458,1444.93376
317.2628533,1440.413953
307.976275,1431.575725
296.5019474,1421.425252
288.1086715,1418.600529
277.7489454,1418.869619
267.9475504,1423.445485
261.5907685,1426.625224
251.4359245,1421.924408
248.9720735,1411.222061
247.5246329,1401.161334
245.6055873,1387.881831
243.9451223,1376.391667
242.143173,1363.922453
240.0012804,1349.100883
237.6133457,1332.57674
236.1155017,1322.211888
234.3699324,1309.955195
232.1363466,1293.519982
230.6806482,1282.525048
228.8316693,1269.256672
227.2068464,1257.755641
225.4600236,1245.391055
223.6489456,1232.571649
221.8253425,1219.663586
219.3431351,1202.093705
217.4082027,1188.33771
215.5780334,1175.304955
213.9109307,1163.051299
212.1303632,1149.487095
210.311623,1135.632173
208.5973505,1122.573129
206.9073084,1109.489282
204.8908256,1093.734439
203.3978563,1082.066381
201.6766121,1068.607891
199.9814254,1055.353145
198.1320436,1040.933338
196.3907349,1027.528904
194.7513822,1015.568117
192.8882225,1002.11081
191.2688934,990.1289573
189.4620673,976.6139551
187.8645964,964.6649227
186.0583714,951.1544168
184.3669551,938.502676
182.6658402,925.77839
181.0709702,913.8488124
179.6485474,902.7784135
179.7545015,889.8472118
179.304569,874.1361298
178.843628,866.1442264
178.3683069,852.4140408
185.0792351,831.827511
201.003162,829.203238
213.8564537,826.5018637
226.082292,825.0177656
239.0267709,823.0984854
250.3157184,821.5662212
261.4286906,820.1719864
272.1914622,818.8216877
283.3569812,817.4208603
294.6077023,816.0093435
305.1732418,814.6837896
316.3143736,813.2714029
326.8138136,811.807504
338.11744,810.1731309
350.2604905,808.4518121
361.7017398,806.8363869
372.4451416,805.2801202
385.1189043,803.2770699
396.2913205,801.247944
405.42,799.59
408.5519489,795.2690907
406.5874438,798.3535275
391.9501521,795.8214909
383.1045556,803.6429144
371.1168083,802.2697163
358.3436752,804.0786151
346.3629694,805.7689622
336.1937946,807.2171491
325.214163,808.811874
315.4421564,810.1652504
298.3353974,812.3200506
286.2652493,813.8322897
271.3089864,815.706123
259.2384544,817.2184102
246.2428174,822.0751931
233.2940729,823.9484735
221.4905183,825.8345718
210.0866106,826.3967513
205.5709419,819.0065116
200.3532979,807.5745675
198.2271966,795.4043757
196.5292868,782.4742281
195.1382413,770.8331039
193.9619037,760.9528433
206.1368573,751.4502051
222.6939304,748.9327803
228.4696003,748.054617
234.5131402,747.1559408
249.2947576,745.1088279
257.9235267,743.9273653
266.0330403,742.8250352
281.9834734,740.6568849
287.0637051,739.9663265
292.0526697,727.6743082
290.5440251,717.4073523
289.4017033,707.8008775
287.6547496,693.1096877
285.9113863,679.3292798
284.3035853,667.3950745
282.8657939,656.5567252
281.9077864,649.30324
280.8469033,641.2708395
280.1155507,635.7334553
279.7742538,633.2723679
292.8469274,620.8919426
298.6888592,620.2982525
302.7137023,619.8680034
312.5436145,618.8172018
319.5053427,617.951813
323.4816462,617.4412433
326.8709109,617.0060513
338.9508196,615.9338305
345.9895033,616.1900179
354.9979682,615.0825024
363.740756,614.0076497
370.3058139,613.2005306
383.849943,611.5353931
391.7602041,610.5628926
402.6390957,609.2254237
410.5487578,608.2581517
420.5455439,606.9414261
432.4939411,605.2858543
445.2015411,603.5250872
459.2473944,601.5885712
473.0060322,599.7156559
484.8952261,598.0972214
500.0317981,596.0367327
513.7187568,594.1735748
526.8656885,590.6561407
540.3915863,588.6461923
553.6059275,586.6825412
568.274991,584.5027183
581.9353177,582.4683274
602.0458607,579.4803654
618.0870548,577.0970147
632.9194492,574.8932637
648.2644318,572.6133539
663.9674875,570.2802427
679.9898599,572.1172718
695.29,571.9
712.4920248,582.644695
720.9977609,591.3118565
725.52978,608.7869759
729.067024,622.4762899
736.0502533,635.1871314
739.7104541,648.1926244
736.416157,659.6874151
738.2192184,673.375758
746.3076762,680.7210426
760.5121466,676.2929544
774.343402,669.3966897
791.3832449,665.2913678
801.6942605,664.2400343
815.223308,662.1742497
827.7129742,660.2571715
839.3032356,658.4912227
853.5139988,656.3135296
869.2419402,653.947541
876.9153799,652.8204993
883.6030617,652.6203704
888.4043261,665.0390306
889.6514398,671.4280473
891.974759,683.1072709
894.9374622,696.8085801
896.5932676,704.4117564
898.6214904,713.8347854
901.0590325,725.1594936
903.19,735.03
902.58,744.72
897.9719468,749.1799609
886.4763463,755.3649646
879.4870625,757.3614182
872.0484145,759.3687637
861.9354893,762.1050544
853.6220987,764.4626978
844.8107341,766.9155455
837.3408114,768.9417755
827.3254937,771.6557888
815.7392977,774.8700591
809.6131789,776.6050787
802.6814084,778.5866013
794.9118586,781.3965207
790.0457271,784.1919364
785.7858295,790.0548094
794.5041432,808.7699824
801.0512319,819.1410947
806.037415,827.0076662
810.5316909,834.0981685
818.0439072,845.949997
820.4189502,856.9715699
823.9031444,865.5540168
827.6849977,874.8463133
829.0866496,878.4851237
833.6224824,890.9711641
837.1026682,900.4850986
840.8558474,910.6282608
844.4392609,920.494727
848.7071639,933.2357
851.695542,942.1613924
856.515406,956.5573697
860.5837142,968.708599
863.9579628,978.78681
865.736241,984.0981742
866.8584701,987.4500498
869.4582502,1000.24184
871.0220437,1011.09619
872.7281718,1022.93849
874.6026408,1036.028038
876.5419172,1049.527101
878.3692734,1062.247102
880.2449715,1075.303604
882.0320761,1087.736617
883.7508936,1099.693608
885.6357201,1112.699935
887.4956957,1125.482232
889.1246755,1138.479482
890.7432041,1151.239905
892.2942979,1163.162564
894.3048679,1178.61704
895.9240949,1191.063413
897.2570679,1201.280887
896.8581486,1203.102592
885.904876,1206.000162
879.3952242,1204.86104
875.319585,1202.110929
871.9540451,1199.367709
864.2466492,1196.998342
856.1150238,1196.955704
853.12,1196.94
851.1345276,1196.394626
849.8203458,1187.732482
849.7756763,1184.679494
849.7558372,1183.323563
849.7403779,1182.266985
849.7303575,1181.582124
849.7042746,1179.799462
849.7074728,1180.018042
849.7095728,1180.161572
849.7005586,1179.545489
849.7117949,1180.313441
849.7161849,1180.613483
849.7144558,1180.495306
849.709125,1180.130967
849.6992158,1179.453709
849.6836776,1178.391734
849.6582024,1176.650604
849.5772676,1171.119021
849.4697788,1163.772574
849.0717248,1156.410349
842.1014957,1153.129657
837.387706,1153.774487
832.7058229,1154.414952
829.9562282,1155.777203
829.9140292,1156.10952
830.0071426,1167.358172
830.0788418,1174.811774
830.1825542,1185.593348
830.2944238,1197.222923
830.405618,1208.782287
830.5145225,1220.103621
830.6124369,1230.282463
830.7094421,1240.36678
830.7598797,1245.610103
830.7291223,1252.630296
826.1693555,1257.554781
