sim_time,phone_lat,phone_lon,matched,edge_id,lane_index,lane_pos,is_internal_edge,raw_x,raw_y,matched_x,matched_y,matched_lat,matched_lon,match_error_m,unmatched_reason
1,-37.90918003,145.1322461,TRUE,28533357#1,0,17.13293702,FALSE,496.8533606,1249.256461,505.7220533,1249.02292,-37.90918373,145.1323469,8.871767101,
2,-37.90921215,145.1322668,TRUE,28533357#1,0,20.61033548,FALSE,498.744655,1245.72873,505.6311355,1245.54671,-37.90921503,145.1323451,6.888885533,
3,-37.90920806,145.1322796,TRUE,28533357#1,0,20.10487332,FALSE,499.8608997,1246.205123,505.644351,1246.051999,-37.90921048,145.1323453,5.78547801,
4,-37.90923605,145.1322633,TRUE,28533357#1,0,23.27455676,FALSE,498.4900818,1243.070502,505.5614785,1242.8834,-37.90923901,145.1323437,7.073871468,
5,-37.90921526,145.1322863,TRUE,28533357#1,0,20.87600207,FALSE,500.4659511,1245.417978,505.6241895,1245.281134,-37.90921742,145.1323449,5.160053293,
6,-37.90910912,145.1322292,TRUE,28533357#1,0,9.339109164,FALSE,495.2099072,1257.095216,505.9258257,1256.814083,-37.90911359,145.132351,10.71960559,
7,-37.90907129,145.1320545,TRUE,28533357#0,0,6.469078246,FALSE,479.7666678,1260.985267,481.101141,1271.692961,-37.90897507,145.1320721,10.79052946,
8,-37.90899823,145.131943,TRUE,1272942443#3,0,4.524648038,FALSE,469.801442,1268.895932,469.5766447,1278.351847,-37.90891301,145.1319426,9.458586134,
9,-37.90898791,145.1319768,TRUE,28533357#0,0,4.472095888,FALSE,472.7500981,1270.100638,479.1198841,1271.940485,-37.90897249,145.1320496,6.630174054,
10,-37.90899972,145.1319742,TRUE,28533357#0,0,4.472095888,FALSE,472.547774,1268.785562,479.1198841,1271.940485,-37.90897249,145.1320496,7.290141938,
11,-37.90901751,145.1319924,TRUE,28533357#0,0,4.472095888,FALSE,474.187426,1266.843559,479.1198841,1271.940485,-37.90897249,145.1320496,7.092798592,
12,-37.90901455,145.1319873,TRUE,28533357#0,0,4.472095888,FALSE,473.7324662,1267.163031,479.1198841,1271.940485,-37.90897249,145.1320496,7.20057911,
13,-37.90896941,145.1319804,TRUE,28533357#0,0,2.841325272,FALSE,473.0254637,1272.159832,478.7406855,1273.526556,-37.90895813,145.1320457,5.876367386,
14,-37.90894297,145.131967,TRUE,1272942443#3,0,2.391105242,FALSE,471.7885793,1275.070138,471.7095779,1278.402845,-37.90891293,145.1319669,3.333643373,
15,-37.90887888,145.1320367,TRUE,:3157090491_0,0,2.445612752,TRUE,477.7739115,1282.304674,478.3938633,1282.169472,-37.90888021,145.1320437,0.634523333,
16,-37.90882528,145.1320149,TRUE,-1272942443#2,0,3.259657422,FALSE,475.7381293,1288.21399,477.3116826,1288.027234,-37.90882725,145.1320327,1.584597006,
17,-37.9087694,145.1320422,TRUE,-1272942443#2,0,9.729558733,FALSE,478.0140261,1294.462805,478.0692619,1294.452629,-37.9087695,145.1320428,0.056165449,
18,-37.90869417,145.1320609,TRUE,-1272942443#2,0,18.22248726,FALSE,479.4908107,1302.843642,479.0637232,1302.887134,-37.9086937,145.1320561,0.429296257,
19,-37.90861074,145.1320784,TRUE,-1272942443#1,0,3.237478342,FALSE,480.8438652,1312.132276,480.183553,1312.213469,-37.90860989,145.1320709,0.665285231,
20,-37.90854269,145.1321023,TRUE,1272942443#1,0,90.93349392,FALSE,482.793794,1319.725543,483.1209983,1319.692546,-37.90854305,145.132106,0.328863872,
21,-37.90845546,145.1321226,TRUE,1272942443#1,0,81.09766397,FALSE,484.3845776,1329.440775,484.317419,1329.455339,-37.90845532,145.1321218,0.068719527,
22,-37.90837027,145.1321414,TRUE,1272942443#1,0,71.50461521,FALSE,485.8480244,1338.926996,485.484308,1338.977154,-37.90836975,145.1321373,0.367158493,
23,-37.90827799,145.1321739,TRUE,1272942443#1,0,60.96219231,FALSE,488.5001902,1349.224092,486.766678,1349.441293,-37.90827572,145.1321542,1.747066325,
24,-37.90820685,145.1322203,TRUE,1272942443#1,0,52.62754626,FALSE,492.4214271,1357.199872,487.780316,1357.714067,-37.90820138,145.1321676,4.669508424,
25,-37.90812188,145.1322627,TRUE,1272942443#1,0,44.7584614,FALSE,495.9602517,1366.70325,487.9899048,1365.546097,-37.90813087,145.1321718,8.053907968,
26,-37.90802888,145.1322659,TRUE,1272942443#1,0,31.73179784,FALSE,496.0348311,1377.028625,487.2796389,1378.428806,-37.90801469,145.1321667,8.86644781,
27,-37.90793382,145.1323353,TRUE,1272942443#1,0,20.26698125,FALSE,501.9250388,1387.699194,489.0870108,1389.750264,-37.90791303,145.1321898,13.00084042,
28,-37.90785963,145.1323222,TRUE,1272942443#1,0,12.36839833,FALSE,500.6083712,1395.908608,490.3321835,1397.550082,-37.90784299,145.1322057,10.40646299,
29,-37.90776958,145.1323631,TRUE,1001027006,0,31.28483035,FALSE,504.0040537,1405.97304,504.5013796,1410.50977,-37.9077288,145.1323698,4.563907299,
30,-37.90770684,145.1323637,TRUE,1001027006,0,32.13373295,FALSE,503.9173287,1412.936036,503.657584,1410.602747,-37.90772781,145.1323602,2.34770218,
31,-37.90766134,145.1322866,TRUE,996237862#1,0,1.096705175,FALSE,497.0376345,1417.849135,495.1986101,1418.317404,-37.90765679,145.1322658,1.897705687,
32,-37.90758683,145.1322677,TRUE,:cluster_11820724987_9239946034_9351956751_9351956760_16,0,4.760236028,TRUE,495.210318,1426.08384,495.425583,1426.170168,-37.90758609,145.1322702,0.231930013,
33,-37.90751479,145.1322035,TRUE,-45897403#0,0,94.91729901,FALSE,489.4057575,1433.964664,489.6317077,1435.629814,-37.90749983,145.1322064,1.680410066,
34,-37.90747513,145.1321124,TRUE,1209653412#1,0,2.646861005,FALSE,481.3081544,1438.205055,481.3828109,1438.92764,-37.90746863,145.1321134,0.726432101,
35,-37.90751566,145.1319456,TRUE,:cluster_579289_605155831_9106614572_9106614573_#2more_21,0,10.49101545,TRUE,466.7333725,1433.413797,466.7842462,1433.858265,-37.90751167,145.1319463,0.447370189,
36,-37.90749998,145.1318079,TRUE,-1209653410,0,82.58106447,FALSE,454.5920528,1434.911123,454.6326523,1435.25259,-37.90749691,145.1318084,0.343872462,
37,-37.90748381,145.1316704,TRUE,-1209653410,0,70.35765702,FALSE,442.4672218,1436.463156,442.5007804,1436.745699,-37.90748127,145.1316708,0.284528851,
38,-37.90748338,145.1315332,TRUE,1209653410,0,25.91350956,FALSE,430.4037678,1436.269112,430.3705908,1435.995749,-37.90748584,145.1315328,0.275368912,
39,-37.90744592,145.1313601,TRUE,-1209653410,0,42.75070144,FALSE,415.1016538,1440.120816,415.1005608,1440.117933,-37.90744595,145.1313601,0.003082788,
40,-37.90745068,145.1312384,TRUE,1209653410,0,52.08945607,FALSE,404.4124841,1439.378142,404.3907104,1439.19356,-37.90745234,145.1312381,0.185861585,
41,-37.9074244,145.1311432,TRUE,-1209653410,0,23.53166353,FALSE,395.984123,1442.126512,396.0254456,1442.465569,-37.90742135,145.1311437,0.341566097,
42,-37.90740935,145.1309105,TRUE,1209653410,0,81.28260642,FALSE,375.4918519,1443.38637,375.416226,1442.75997,-37.90741498,145.1309095,0.630949008,
43,-37.9073939,145.1307784,TRUE,:cluster_605155297_605155316_14,0,6.036834359,TRUE,363.843353,1444.867912,364.0200084,1445.143223,-37.90739145,145.1307805,0.327113183,
44,-37.90736923,145.1306523,TRUE,-1147258794#0,0,4.401696475,FALSE,352.7018489,1447.383112,352.7418749,1447.718491,-37.90736622,145.1306528,0.337758369,
45,-37.90735828,145.1305156,TRUE,:cluster_9106614563_9109971234_3,0,8.620402231,TRUE,340.6589237,1448.35717,340.6553834,1448.45529,-37.9073574,145.1305156,0.098183808,
46,-37.90735128,145.1303948,TRUE,-1147258794#2,0,18.8430039,FALSE,330.0227013,1448.920933,330.3996566,1447.115074,-37.90736762,145.1303987,1.844782697,
47,-37.90741397,145.1302402,TRUE,1147258794#2,0,15.73226399,FALSE,316.5699074,1441.691935,317.26005,1440.412441,-37.90742562,145.1302478,1.45375416,
48,-37.90748745,145.1301116,TRUE,:10132758421_4,0,0.995832665,TRUE,305.4270491,1433.311452,306.150081,1432.823403,-37.90749198,145.1301197,0.872334534,
49,-37.90760336,145.1300135,TRUE,:579292_0,0,7.393633792,TRUE,297.0601871,1420.276501,296.6456398,1421.468194,-37.90759255,145.1300091,1.261738027,
50,-37.90760546,145.1299096,TRUE,5094886#2,0,8.82249885,FALSE,287.930082,1419.860232,288.1111967,1418.600893,-37.90761684,145.1299114,1.272296156,
51,-37.90759599,145.129799,TRUE,-5094886#2,0,13.51414695,FALSE,278.185164,1420.716001,278.2622576,1421.03626,-37.90759312,145.1297999,0.329407733,
52,-37.90755593,145.1296946,TRUE,-5094886#2,0,3.371379678,FALSE,268.9172399,1424.977112,269.1401562,1425.329219,-37.9075528,145.1296972,0.416739177,
53,-37.90750191,145.1296156,TRUE,:9110403639_1,0,6.675083239,TRUE,261.8513702,1430.832088,261.4436867,1430.646849,-37.9075035,145.1296109,0.447793915,
54,-37.90758033,145.1294952,TRUE,:9110403636_0,0,1.280787875,TRUE,251.4405141,1421.917828,251.4360175,1421.92451,-37.90758027,145.1294952,0.008053894,
55,-37.90768034,145.1294965,TRUE,-10539447#1,0,7.091578507,FALSE,251.7774805,1410.822515,248.9716449,1411.219048,-37.90767626,145.1294647,2.83371685,
56,-37.90776837,145.1294595,TRUE,-10539447#0,0,3.393020185,FALSE,248.7204849,1400.988998,247.5247095,1401.161864,-37.9077666,145.1294459,1.208205866,
57,-37.90789086,145.1294592,TRUE,-10539447#0,0,16.8104227,FALSE,248.9668392,1387.39637,245.6056705,1387.882407,-37.90788587,145.1294211,3.3961283,
58,-37.90799381,145.1294357,TRUE,-10539447#0,0,28.42035604,FALSE,247.1299783,1375.931069,243.9451467,1376.391836,-37.90798908,145.1293996,3.21798981,
59,-37.90810486,145.1294051,TRUE,-10539447#0,0,41.01894387,FALSE,244.6869389,1363.554426,242.1432196,1363.922775,-37.90810108,145.1293763,2.570250841,
60,-37.90823558,145.129359,TRUE,-10539447#0,0,55.99343536,FALSE,240.9249746,1348.967755,240.0014762,1349.102238,-37.9082342,145.1293485,0.933238919,
61,-37.9083842,145.1293296,TRUE,-10539447#0,0,72.68889154,FALSE,238.6711154,1332.424272,237.6135899,1332.578429,-37.90838262,145.1293176,1.068702368,
62,-37.90847664,145.1293051,TRUE,-10539447#0,0,83.16226124,FALSE,236.7229655,1322.123445,236.1156244,1322.212737,-37.90847573,145.1292982,0.61386994,
63,-37.9085871,145.1292857,TRUE,:579297_3,0,4.049413702,TRUE,235.2633291,1309.832026,235.527291,1309.947082,-37.90858611,145.1292887,0.287947758,
64,-37.90873294,145.1292419,TRUE,-4577073#9,0,6.12407988,FALSE,231.7372935,1293.571615,232.1362033,1293.518899,-37.90873349,145.1292464,0.402377977,
65,-37.9088338,145.12924,TRUE,-4577073#9,0,17.21477991,FALSE,231.7948509,1282.376335,230.6805286,1282.524144,-37.90883227,145.1292274,1.124082678,
66,-37.90895314,145.1292165,TRUE,-4577073#9,0,30.61012724,FALSE,229.9945469,1269.092311,228.8317271,1269.257081,-37.90895145,145.1292033,1.174435758,
67,-37.90905509,145.1291848,TRUE,-4577073#9,0,42.22507301,FALSE,227.4346027,1257.723499,227.2069452,1257.75634,-37.90905475,145.1291822,0.230014137,
68,-37.9091699,145.1291913,TRUE,-4577073#9,0,54.71243793,FALSE,228.2617389,1244.995077,225.4601229,1245.391758,-37.90916582,145.1291595,2.829559657,
