sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y,,,,
29,-37.90880777,145.1320707,480.6080883,1290.254903,477.3034514,1287.957421,477.3034514,1287.957421,,0,0,0
33,-37.90876513,145.1320656,480.0657914,1294.977767,478.7369265,1300.115413,478.7369265,1300.115413,,0,0,0
34,-37.90828548,145.1321934,490.2270664,1348.427577,478.1577027,1295.202738,478.1577027,1295.202738,,0,0,0
37,-37.90800271,145.1321472,485.5364028,1379.723864,485.8549692,1358.874603,485.8549692,1358.874603,,0,0,0
38,-37.90790626,145.1321534,485.8748072,1390.437393,485.4640992,1379.735393,485.4640992,1379.735393,,0,0,0
39,-37.90777503,145.1321802,487.9379706,1405.046118,487.1384939,1390.235887,487.1384939,1390.235887,,0,0,0
40,-37.90770774,145.1322097,490.3819684,1412.564886,489.4613778,1404.803198,489.4613778,1404.803198,,0,0,0
41,-37.90762615,145.1322603,494.6434003,1421.70745,491.5194667,1412.177102,491.5194667,1412.177102,,0,0,0
42,-37.90760776,145.1322836,496.6570853,1423.789696,493.6767944,1421.791172,493.6767944,1421.791172,,0,0,0
43,-37.90760551,145.1322686,495.3302886,1424.012393,496.7599017,1423.751673,493.83,1423.56,,-2.929901691,-0.191672939,2.936164579
44,-37.9075813,145.1322692,495.332508,1426.700395,495.1665324,1424.060639,493.83,1423.56,,-1.336532386,-0.500639119,1.427220496
45,-37.90756059,145.1322532,493.8811123,1428.969836,495.2249295,1426.65596,492.9421773,1425.716141,,-2.282752234,-0.939819234,2.468646988
46,-37.90753037,145.1321745,486.8875296,1432.185047,493.6353586,1428.630865,492.2651936,1426.719092,,-1.37016498,-1.911773255,2.3520691
47,-37.90751356,145.132081,478.6324182,1433.884987,486.8097856,1431.555229,486.1823965,1429.330937,,-0.62738908,-2.224291193,2.311079482
48,-37.90749706,145.1319715,468.9683512,1435.523292,478.2003316,1433.930055,478.218658,1430.32483,,0.018326344,-3.605224214,3.605270792
49,-37.90750617,145.13182,455.6673268,1434.245249,469.1375212,1434.96582,468.5046315,1431.425216,,-0.632889702,-3.540603606,3.596723964
50,-37.90749744,145.1316865,443.9104014,1434.978752,455.5020347,1432.902371,455.5020347,1432.902371,,0,0,0
51,-37.90747695,145.1314703,424.855124,1436.872185,443.831638,1434.338857,443.831638,1434.338857,,0,0,0
52,-37.90744429,145.1313198,411.5592288,1440.230367,424.8311711,1436.677585,424.8311711,1436.677585,,0,0,0
53,-37.90744476,145.1311758,398.8922378,1439.924578,411.3265282,1438.339844,411.3265282,1438.339844,,0,0,0
54,-37.90741648,145.1310205,385.176969,1442.78886,398.8856632,1439.871165,398.8856632,1439.871165,,0,0,0
55,-37.90740157,145.130882,372.9682936,1444.199091,385.0277916,1441.576902,385.0277916,1441.576902,,0,0,0
56,-37.90738885,145.1307068,357.5409658,1445.302187,372.8303331,1443.078262,372.8303331,1443.078262,,0,0,0
57,-37.90737025,145.1305511,343.8107867,1447.091571,357.4964587,1444.921784,357.4964587,1444.921784,,0,0,0
58,-37.90739404,145.1304108,331.5236152,1444.204381,343.9991671,1446.094724,343.8247895,1446.273407,,-0.174377597,0.178682668,0.249669867
59,-37.90744295,145.1302721,319.4398569,1438.532237,331.3501299,1445.03711,331.3501299,1445.03711,,0,0,0
60,-37.90752057,145.1301478,308.6792762,1429.70059,318.3186263,1440.955907,318.3186263,1440.955907,,0,0,0
61,-37.9076206,145.130074,302.4208413,1418.470513,307.32,1430.51,307.32,1430.51,,0,0,0
62,-37.90764824,145.1298976,286.9661886,1415.091477,303.5237154,1421.157001,299.9207114,1423.150243,,-3.603003975,1.993242044,4.117602639
63,-37.90762668,145.129744,273.4136984,1417.213918,286.4939296,1418.367774,286.4939296,1418.367774,,0,0,0
64,-37.90755289,145.1296367,263.81965,1425.211778,274.5321746,1419.898261,274.5321746,1419.898261,,0,0,0
65,-37.90757148,145.1295048,252.2655062,1422.916394,264.1551029,1425.794213,264.1551029,1425.794213,,0,0,0
66,-37.90768737,145.1294626,248.8083683,1409.982236,252.3072342,1422.877827,252.3072342,1422.877827,,0,0,0
67,-37.90780165,145.1294565,248.5342742,1397.290406,248.7960241,1409.983991,248.7960241,1409.983991,,0,0,0
68,-37.90792617,145.1294344,246.8619664,1383.43434,246.9973349,1397.512512,246.9973349,1397.512512,,0,0,0
69,-37.90802655,145.1293821,242.4915427,1372.203041,245.0017208,1383.703167,245.0017208,1383.703167,,0,0,0
70,-37.90815554,145.1293593,240.7725169,1357.849861,243.3224635,1372.082963,243.3224635,1372.082963,,0,0,0
71,-37.90828338,145.1292922,235.1596353,1343.546197,241.2555245,1357.780061,241.2555245,1357.780061,,0,0,0
72,-37.9083813,145.1293148,237.3646758,1332.720175,239.1159402,1342.974464,239.1159402,1342.974464,,0,0,0
73,-37.90848561,145.1292953,235.8785823,1321.110581,237.6285629,1332.68204,237.6285629,1332.68204,,0,0,0
74,-37.90854745,145.1292828,234.9220142,1314.226442,235.954759,1321.099573,235.954759,1321.099573,,0,0,0
75,-37.90858381,145.1294009,245.3844841,1310.400681,234.9607021,1314.220851,234.9607021,1314.220851,,0,0,0
76,-37.90859517,145.1295252,256.3335958,1309.358462,245.4163633,1310.447863,244.9721003,1306.984742,,-0.44426293,-3.463121109,3.491500733
77,-37.90862886,145.1296597,268.2378266,1305.857744,255.8879433,1305.666944,255.8879433,1305.666944,,0,0,0
78,-37.90865558,145.1298265,282.9656869,1303.187401,267.1330145,1305.3797,268.0219859,1304.154797,,0.888971371,-1.224903207,1.513491977
79,-37.9086857,145.1299527,294.1266084,1300.06759,282.8324832,1302.188839,282.8324832,1302.188839,,0,0,0
80,-37.90869874,145.1300885,306.0941172,1298.860439,294.1622091,1300.193536,290.9190088,1301.110132,,-3.24320029,0.916596655,3.370237017
81,-37.90872848,145.1302301,318.6082387,1295.80949,306.1261318,1297.370308,290.9190088,1301.110132,,-15.20712301,3.739824705,15.6602324
82,-37.9087439,145.1303568,329.7837701,1294.321924,318.7471028,1297.087403,330.91,1295.67,,12.16289718,-1.41740289,12.24520718
83,-37.90876323,145.1304739,340.1192197,1292.38395,330.0056378,1295.805268,330.91,1295.67,,0.90436222,-0.135267853,0.91442245
84,-37.90877687,145.1305833,349.7641272,1291.062633,340.39883,1294.242283,340.39883,1294.242283,,0,0,0
85,-37.90878203,145.1306858,358.791849,1290.670501,350.0246273,1292.793957,350.0246273,1292.793957,,0,0,0
86,-37.90879458,145.130774,366.5710987,1289.433796,358.9101892,1291.457009,358.9101892,1291.457009,,0,0,0
87,-37.908794,145.1308948,377.1903807,1289.710833,366.6991815,1290.285054,366.6991815,1290.285054,,0,0,0
88,-37.90882317,145.1310247,388.6801898,1286.702766,377.0578972,1288.759481,377.0578972,1288.759481,,0,0,0
89,-37.90882057,145.1311192,396.9842053,1287.157881,388.7413063,1287.131327,388.7413063,1287.131327,,0,0,0
90,-37.90884932,145.131239,407.577486,1284.178667,396.8161974,1285.979777,396.8161974,1285.979777,,0,0,0
91,-37.9088486,145.1313464,417.0163783,1284.448515,407.6147277,1284.439813,407.6147277,1284.439813,,0,0,0
92,-37.908874,145.1314509,426.2639483,1281.813896,416.8277694,1283.125953,416.8277694,1283.125953,,0,0,0
93,-37.90888976,145.1315549,435.4437341,1280.248077,426.2592488,1281.780942,426.2592488,1281.780942,,0,0,0
94,-37.9088986,145.1316727,445.8189096,1279.47514,435.4679932,1281.279666,435.4679932,1281.279666,,0,0,0
95,-37.9088996,145.1317492,452.5424058,1279.499446,445.8556008,1281.035389,445.8556008,1281.035389,,0,0,0
96,-37.90890334,145.1318389,460.4422217,1279.241611,452.5748096,1280.877378,452.5748096,1280.877378,,0,0,0
97,-37.90892074,145.1319217,467.759766,1277.456593,460.6167963,1278.809769,455.4390003,1280.810024,,-5.177795981,2.000254806,5.550728827
98,-37.9089296,145.1319919,473.9462749,1276.597291,467.6914987,1280.307754,476.93,1284.79,,9.238501251,4.482245805,10.2684192
99,-37.90893662,145.1320474,478.8467883,1275.916609,473.9018508,1278.455262,476.93,1284.79,,3.028149182,6.334737744,7.021295447
100,-37.90894379,145.1320758,481.3569964,1275.170759,476.2244946,1279.104052,476.93,1284.79,,0.705505384,5.685947692,5.729549634
101,-37.90900169,145.1320389,478.2418174,1268.680614,477.35,1280.03,476.93,1284.79,,-0.42,4.76,4.778493486
102,-37.90900841,145.1320176,476.385087,1267.897696,475.94,1278.87,476.93,1284.79,,0.99,5.92,6.002207927
103,-37.9089924,145.132005,475.2377862,1269.652216,474.1009755,1278.460217,476.93,1284.79,,2.829024464,6.329782625,6.93321913
104,-37.90897961,145.1320355,477.895089,1271.124878,474.1009755,1278.460217,476.93,1284.79,,2.829024464,6.329782625,6.93321913
105,-37.90898021,145.1320294,477.3531034,1271.047827,475.94,1278.87,476.93,1284.79,,0.99,5.92,6.002207927
